timestamp_day,Date transaction,Date sell-buy,Date sell transaction,Date sell,Date buy transaction,Date buy,Date total sell,Date absolute total buy
19,40,1052348,21,1334332,19,-281984,1616316.0,281984
20,153,426,76,1239191,77,-1238765,2477956.0,1238765
21,154,-1741,76,1201705,78,-1203446,2405151.0,1203446
22,69,-14922,34,480676,35,-495598,976274.0,495598
23,96,899,48,633072,48,-632173,1265245.0,632173
24,86,-1680,42,565300,44,-566980,1132280.0,566980
25,217,11247,109,1442316,108,-1431069,2873385.0,1431069
31,4,-86,2,22176,2,-22262,44438.0,22262
