timestamp_hour,Hourly transaction,Hourly sell-buy,Hourly sell transaction,Hourly sell,Hourly buy transaction,Hourly buy,Hourly total sell,Hourly absolute total buy
0,779,-44755237,456,1632465969,323,-1677221206,3309687175,1677221206
1,791,13503102,439,1667510563,352,-1654007461,3321518024,1654007461
2,634,6295695,377,1440544569,257,-1434248874,2874793443,1434248874
3,567,21855552,342,1231190116,225,-1209334564,2440524680,1209334564
4,509,-18374759,286,1084051894,223,-1102426653,2186478547,1102426653
5,577,-27397230,353,1148767728,224,-1176164958,2324932686,1176164958
6,592,11977581,369,1155926846,223,-1143949265,2299876111,1143949265
7,772,-43558142,439,1585351799,333,-1628909941,3214261740,1628909941
8,691,39330442,430,1698249041,261,-1658918599,3357167640,1658918599
9,947,-37693043,528,2063073698,419,-2100766741,4163840439,2100766741
10,740,24331679,480,1766292970,260,-1741961291,3508254261,1741961291
11,754,40060202,432,1663976896,322,-1623916694,3287893590,1623916694
12,762,3741885,447,1706248412,315,-1702506527,3408754939,1702506527
13,830,-73877156,470,1896321352,360,-1970198508,3866519860,1970198508
14,732,61419432,433,1555138222,299,-1493718790,3048857012,1493718790
15,775,-947206,448,1823753913,327,-1824701119,3648455032,1824701119
16,885,-7760612,501,1977851923,384,-1985612535,3963464458,1985612535
17,911,7322639,550,1954599029,361,-1947276390,3901875419,1947276390
18,803,35755730,454,1812238072,349,-1776482342,3588720414,1776482342
19,1108,-60916494,662,2248902303,446,-2309818797,4558721100,2309818797
20,722,8755548,428,1600914876,294,-1592159328,3193074204,1592159328
21,728,-10804702,419,1482128157,309,-1492932859,2975061016,1492932859
22,918,81837691,529,1861029416,389,-1779191725,3640221141,1779191725
23,840,-10045152,485,1761388138,355,-1771433290,3532821428,1771433290
