timestamp_hour,Hourly transaction,Hourly sell-buy,Hourly sell transaction,Hourly sell,Hourly buy transaction,Hourly buy,Hourly total sell,Hourly absolute total buy
0,27,-17143,13,180475,14,-197618,378093,197618
1,31,42764,17,243126,14,-200362,443488,200362
2,19,-42964,8,107227,11,-150191,257418,150191
3,27,16843,14,201779,13,-184936,386715,184936
4,19,14385,10,146223,9,-131838,278061,131838
5,25,-44088,11,153733,14,-197821,351554,197821
6,22,42053,12,183869,10,-141816,325685,141816
7,33,-14038,16,229702,17,-243740,473442,243740
8,35,9339,18,256367,17,-247028,503395,247028
9,37,-39690,17,253951,20,-293641,547592,293641
10,16,81,8,106303,8,-106222,212525,106222
11,27,29442,15,200395,12,-170953,371348,170953
12,32,1022708,15,1274565,17,-251857,1526422,251857
13,71,3370703,37,3870996,34,-500293,4371289,500293
14,43,-11828,21,307147,22,-318975,626122,318975
15,40,26610,21,311094,19,-284484,595578,284484
16,30,-35201,14,194337,16,-229538,423875,229538
17,56,-23159,27,369788,29,-392947,762735,392947
18,52,51460,27,408519,25,-357059,765578,357059
19,30,-26883,14,208090,16,-234973,443063,234973
20,18,467,9,129441,9,-128974,258415,128974
21,39,14165,20,273726,19,-259561,533287,259561
22,33,-1468464,16,232297,17,-1700761,1933058,1700761
23,61,-33010,29,416748,32,-449758,866506,449758
