timestamp_hour,Hourly transaction,Hourly sell-buy,Hourly sell transaction,Hourly sell,Hourly buy transaction,Hourly buy,Hourly total sell,Hourly absolute total buy
0,1132,114868467,630,1951036049,502,-1836167582,3787203631,1836167582
1,971,-48371554,560,1437902367,411,-1486273921,2924176288,1486273921
2,775,-11984907,443,1199318401,332,-1211303308,2410621709,1211303308
3,538,74536778,317,763277352,221,-688740574,1452017926,688740574
4,556,18869286,308,710558153,248,-691688867,1402247020,691688867
5,648,-61174958,382,861073134,266,-922248092,1783321226,922248092
6,852,-37904077,509,1228580613,343,-1266484690,2495065303,1266484690
7,1172,59291693,729,1837178235,443,-1777886542,3615064777,1777886542
8,1422,41550852,827,2269378269,595,-2227827417,4497205686,2227827417
9,1588,-207970,886,2704894220,702,-2705102190,5409996410,2705102190
10,1330,-3871976,799,2376954896,531,-2380826872,4757781768,2380826872
11,1245,-32415214,678,1918210080,567,-1950625294,3868835374,1950625294
12,1103,23511052,661,1954669736,442,-1931158684,3885828420,1931158684
13,1209,26753047,671,1996956974,538,-1970203927,3967160901,1970203927
14,1062,-19628833,679,1902392422,383,-1922021255,3824413677,1922021255
15,1261,59748522,767,2051723861,494,-1991975339,4043699200,1991975339
16,1215,-18546364,713,2073693055,502,-2092239419,4165932474,2092239419
17,1352,-76477308,811,2255552717,541,-2332030025,4587582742,2332030025
18,1421,-61489803,790,2089569717,631,-2151059520,4240629237,2151059520
19,1531,52505373,861,2691776632,670,-2639271259,5331047891,2639271259
20,1500,43765002,892,2573733574,608,-2529968572,5103702146,2529968572
21,1404,67480864,845,2655265251,559,-2587784387,5243049638,2587784387
22,1283,-188290383,703,2137460524,580,-2325750907,4463211431,2325750907
23,1220,3158451,777,1994403993,443,-1991245542,3985649535,1991245542
