timestamp_minute,Minute transaction,Minute sell-buy,Minute sell transaction,Minute sell,Minute buy transaction,Minute buy,Minute total sell,Minute absolute total buy
0,312,22422207,197,726636576,115,-704214369,1430850945,704214369
1,339,35448466,189,752532790,150,-717084324,1469617114,717084324
2,326,41300419,184,705760770,142,-664460351,1370221121,664460351
3,298,-40075911,171,575229718,127,-615305629,1190535347,615305629
4,362,104389380,220,918360243,142,-813970863,1732331106,813970863
5,328,140454391,206,737587220,122,-597132829,1334720049,597132829
6,311,-15879143,169,703151886,142,-719031029,1422182915,719031029
7,330,143851646,219,733079491,111,-589227845,1322307336,589227845
8,311,-77361220,178,565586755,133,-642947975,1208534730,642947975
9,306,-231239736,183,572332987,123,-803572723,1375905710,803572723
10,281,126805326,185,677042873,96,-550237547,1227280420,550237547
11,318,-35735934,174,634074622,144,-669810556,1303885178,669810556
12,327,-25572106,194,622783927,133,-648356033,1271139960,648356033
13,303,84288431,179,684364431,124,-600076000,1284440431,600076000
14,290,264334262,178,775199022,112,-510864760,1286063782,510864760
15,329,-292476681,168,549796420,161,-842273101,1392069521,842273101
16,324,67982968,199,735722305,125,-667739337,1403461642,667739337
17,322,-1797175,179,664987943,143,-666785118,1331773061,666785118
18,289,104264630,192,628800858,97,-524536228,1153337086,524536228
19,304,-210093967,175,637826853,129,-847920820,1485747673,847920820
20,311,-85799634,170,721855498,141,-807655132,1529510630,807655132
21,325,-148546544,180,640370342,145,-788916886,1429287228,788916886
22,304,-9555331,162,687674162,142,-697229493,1384903655,697229493
23,336,177581945,184,828226372,152,-650644427,1478870799,650644427
24,283,-23207651,168,691824331,115,-715031982,1406856313,715031982
25,304,25742690,185,669815990,119,-644073300,1313889290,644073300
26,280,-17381157,171,616412644,109,-633793801,1250206445,633793801
27,267,41312133,161,646620696,106,-605308563,1251929259,605308563
28,312,-58042698,179,552966626,133,-611009324,1163975950,611009324
29,335,-160202632,169,613810139,166,-774012771,1387822910,774012771
30,328,217283679,206,901754961,122,-684471282,1586226243,684471282
31,345,122395019,219,822840992,126,-700445973,1523286965,700445973
32,297,-367653618,140,510431606,157,-878085224,1388516830,878085224
33,301,116088002,184,690015723,117,-573927721,1263943444,573927721
34,333,-150311308,179,636060193,154,-786371501,1422431694,786371501
35,263,114604588,162,633904719,101,-519300131,1153204850,519300131
36,356,97443090,219,776050404,137,-678607314,1454657718,678607314
37,290,-200342988,141,531339715,149,-731682703,1263022418,731682703
38,311,-28359331,175,746285392,136,-774644723,1520930115,774644723
39,280,104692568,182,630690987,98,-525998419,1156689406,525998419
40,265,-11660035,159,631506680,106,-643166715,1274673395,643166715
41,305,8469752,173,679614043,132,-671144291,1350758334,671144291
42,278,240073875,186,722707576,92,-482633701,1205341277,482633701
43,320,-30951590,194,687153984,126,-718105574,1405259558,718105574
44,282,90196131,166,703177640,116,-612981509,1316159149,612981509
45,339,-95451059,194,600567278,145,-696018337,1296585615,696018337
46,338,98665520,204,681708458,134,-583042938,1264751396,583042938
47,322,77539705,197,688637193,125,-611097488,1299734681,611097488
48,301,1769278,196,686456286,105,-684687008,1371143294,684687008
49,262,-88606826,163,614016615,99,-702623441,1316640056,702623441
50,302,163352535,197,754480635,105,-591128100,1345608735,591128100
51,295,-92356912,158,531431791,137,-623788703,1155220494,623788703
52,314,78875351,200,670939769,114,-592064418,1263004187,592064418
53,316,-256026584,165,538026097,151,-794052681,1332078778,794052681
54,287,-33648656,156,595027471,131,-628676127,1223703598,628676127
55,265,-45403490,146,634829657,119,-680233147,1315062804,680233147
56,280,-25538377,157,572410785,123,-597949162,1170359947,597949162
57,280,45420820,166,601274526,114,-555853706,1157128232,555853706
58,252,-98131776,131,509877268,121,-608009044,1117886312,608009044
59,293,20418708,174,564262968,119,-543844260,1108107228,543844260
