timestamp_day,Date transaction,Date sell-buy,Date sell transaction,Date sell,Date buy transaction,Date buy,Date total sell,Date absolute total buy
1,1042,842310,629,1729078736,413,-1728236426,3457315162,1728236426
2,1224,-9850277,706,2567799686,518,-2577649963,5145449649,2577649963
3,1406,12052822,797,2843235983,609,-2831183161,5674419144,2831183161
4,1278,-17687024,708,2635126328,570,-2652813352,5287939680,2652813352
5,613,-2474659,350,1151553242,263,-1154027901,2305581143,1154027901
8,1049,-11229029,597,2057855852,452,-2069084881,4126940733,2069084881
9,1028,14113709,630,2029628337,398,-2015514628,4045142965,2015514628
10,1119,1472564,670,2092984542,449,-2091511978,4184496520,2091511978
11,928,1168065,566,1647154408,362,-1645986343,3293140751,1645986343
12,1144,1339762,666,2172887664,478,-2171547902,4344435566,2171547902
13,1216,534832,791,2634083924,425,-2633549092,5267633016,2633549092
14,731,579270,449,1487680380,282,-1487101110,2974781490,1487101110
15,1081,1668246,655,2172246406,426,-2170578160,4342824566,2170578160
16,772,-492516,511,1208244204,261,-1208736720,2416980924,1208736720
17,666,-19028555,422,1142256616,244,-1161285171,2303541787,1161285171
18,1046,19884617,661,1655232203,385,-1635347586,3290579789,1635347586
19,1346,7314411,769,2649213976,577,-2641899565,5291113541,2641899565
20,1744,2737783,1122,3272418009,622,-3269680226,6542098235,3269680226
21,1706,-2746455,1070,3677377266,636,-3680123721,7357500987,3680123721
22,1782,5255741,1179,3543600809,603,-3538345068,7081945877,3538345068
23,1178,857685,774,2091273273,404,-2090415588,4181688861,2090415588
24,1389,-13545062,851,2457649721,538,-2471194783,4928844504,2471194783
25,1176,15396091,689,2062421043,487,-2047024952,4109445995,2047024952
26,1149,-230397,760,1681001400,389,-1681231797,3362233197,1681231797
27,1341,-15649586,834,1998762896,507,-2014412482,4013175378,2014412482
28,1240,17142294,837,2004241259,403,-1987098965,3991340224,1987098965
29,765,381138,512,979289919,253,-978908781,1958198700,978908781
30,1027,-16682822,645,1667576198,382,-1684259020,3351835218,1684259020
31,963,19011544,603,1357841319,360,-1338829775,2696671094,1338829775
