timestamp_hour,Hourly transaction,Hourly sell-buy,Hourly sell transaction,Hourly sell,Hourly buy transaction,Hourly buy,Hourly total sell,Hourly absolute total buy
0,355,-30622562,204,476843906,151,-507466468,984310374,507466468
1,322,-24689234,176,412028175,146,-436717409,848745584,436717409
2,264,84809670,161,316020865,103,-231211195,547232060,231211195
3,356,-51899767,199,323423511,157,-375323278,698746789,375323278
4,344,-41743148,198,382848437,146,-424591585,807440022,424591585
5,310,40507329,177,280619296,133,-240111967,520731263,240111967
6,311,3710915,148,240346936,163,-236636021,476982957,236636021
7,494,83558729,322,715535858,172,-631977129,1347512987,631977129
8,581,-77297664,320,681989190,261,-759286854,1441276044,759286854
9,501,-13141046,289,620094470,212,-633235516,1253329986,633235516
10,395,-615788,225,484981132,170,-485596920,970578052,485596920
11,398,-17819833,188,476877889,210,-494697722,971575611,494697722
12,394,71550692,225,434156132,169,-362605440,796761572,362605440
13,258,-16613900,136,296334595,122,-312948495,609283090,312948495
14,329,42069183,196,296626452,133,-254557269,551183721,254557269
15,427,-59741580,247,496584583,180,-556326163,1052910746,556326163
16,383,37204005,221,440816537,162,-403612532,844429069,403612532
17,305,14118124,207,389035299,98,-374917175,763952474,374917175
18,453,-40325895,208,526345765,245,-566671660,1093017425,566671660
19,413,12237878,199,521904446,214,-509666568,1031571014,509666568
20,404,15691774,207,568654665,197,-552962891,1121617556,552962891
21,448,-62389604,254,617584697,194,-679974301,1297558998,679974301
22,525,-52736975,270,879994217,255,-932731192,1812725409,932731192
23,497,84672846,270,742943228,227,-658270382,1401213610,658270382
