,timestamp,amount_cumsum
1,2018-02-14 00:12:12,-5593
3,2018-02-14 00:15:41,-4438
6,2018-02-14 00:20:44,28864
14,2018-02-14 00:28:28,519
19,2018-02-14 00:33:24,-16492
28,2018-02-14 00:54:17,21216
30,2018-02-14 00:54:58,20493
35,2018-02-14 01:00:07,12110
50,2018-02-14 01:17:12,32806
52,2018-02-14 01:19:26,33141
57,2018-02-14 01:35:26,38965
60,2018-02-14 01:37:03,36201
73,2018-02-14 01:52:52,19447
80,2018-02-14 02:06:07,17139
82,2018-02-14 02:09:42,17563
89,2018-02-14 02:20:03,32264
94,2018-02-14 02:43:06,64069
98,2018-02-14 02:53:51,123032
102,2018-02-14 03:01:26,134863
109,2018-02-14 03:06:02,135242
117,2018-02-14 03:13:37,105435
119,2018-02-14 03:15:10,106326
127,2018-02-14 03:36:00,113902
130,2018-02-14 03:45:51,115520
141,2018-02-14 04:10:35,96568
142,2018-02-14 04:11:43,69019
146,2018-02-14 04:15:22,101655
154,2018-02-14 04:31:52,128745
155,2018-02-14 04:47:04,87333
156,2018-02-14 04:51:15,128737
161,2018-02-14 04:56:30,129438
163,2018-02-14 05:03:51,129586
165,2018-02-14 05:08:34,129573
167,2018-02-14 05:14:17,129627
168,2018-02-14 05:23:26,86949
169,2018-02-14 05:24:29,129682
172,2018-02-14 05:33:53,131814
174,2018-02-14 05:34:17,131758
176,2018-02-14 05:36:58,131461
182,2018-02-14 05:49:13,131983
183,2018-02-14 06:06:18,88339
184,2018-02-14 06:06:53,132005
186,2018-02-14 06:09:28,131962
187,2018-02-14 06:15:45,102226
188,2018-02-14 06:17:11,132010
189,2018-02-14 06:26:50,88498
190,2018-02-14 06:27:35,132045
196,2018-02-14 06:42:00,130006
198,2018-02-14 06:59:49,129995
202,2018-02-14 07:03:00,116714
211,2018-02-14 07:10:34,125440
212,2018-02-14 07:12:44,115547
213,2018-02-14 07:13:12,125435
217,2018-02-14 07:30:58,139695
224,2018-02-14 07:39:39,49311
236,2018-02-14 08:10:24,99303
241,2018-02-14 08:15:11,87069
249,2018-02-14 08:23:39,117986
254,2018-02-14 08:41:29,117414
260,2018-02-14 08:48:37,117586
267,2018-02-14 08:53:08,124552
271,2018-02-14 08:59:33,118403
276,2018-02-14 09:06:15,119526
277,2018-02-14 09:09:18,108634
280,2018-02-14 09:13:49,125345
286,2018-02-14 09:26:04,119460
299,2018-02-14 09:40:44,218005
301,2018-02-14 09:41:58,227739
304,2018-02-14 09:47:05,228310
312,2018-02-14 09:54:14,183761
319,2018-02-14 10:06:00,231794
320,2018-02-14 10:13:40,144146
322,2018-02-14 10:14:56,230744
332,2018-02-14 10:28:10,182462
338,2018-02-14 10:39:44,237055
340,2018-02-14 10:42:09,235643
364,2018-02-14 11:03:35,351573
367,2018-02-14 11:08:11,351300
369,2018-02-14 11:12:08,351254
388,2018-02-14 11:17:04,313330
390,2018-02-14 11:21:23,313825
392,2018-02-14 11:23:44,311029
393,2018-02-14 11:25:38,255957
395,2018-02-14 11:27:35,309848
401,2018-02-14 11:36:53,295127
411,2018-02-14 11:54:09,309804
418,2018-02-14 11:59:47,278585
423,2018-02-14 12:05:22,280688
433,2018-02-14 12:11:12,273577
436,2018-02-14 12:13:27,264950
448,2018-02-14 12:23:14,228764
453,2018-02-14 12:26:49,261127
455,2018-02-14 12:28:17,262834
467,2018-02-14 12:59:04,269356
468,2018-02-14 13:00:08,170534
