,timestamp,amount_cumsum
23,2018-04-01 00:24:41,-38857
44,2018-04-01 00:46:09,108525
53,2018-04-01 00:59:44,124891
54,2018-04-01 00:59:51,89209
156,2018-04-01 07:53:19,83842
775,2018-04-02 09:38:53,1050589
876,2018-04-02 13:03:22,1246299
877,2018-04-02 13:04:55,1282198
998,2018-04-02 17:45:09,1259820
999,2018-04-02 17:45:16,1261353
1000,2018-04-02 17:45:30,1262119
1171,2018-04-02 22:13:37,1443116
1172,2018-04-02 22:13:37,1414681
1173,2018-04-02 22:14:48,1379279
1297,2018-04-03 04:37:46,1764270
1521,2018-04-03 12:45:48,2025164
1547,2018-04-03 13:04:32,1971451
1657,2018-04-03 15:25:46,2340326
1713,2018-04-03 17:29:25,2566566
1769,2018-04-03 18:50:50,2455054
1770,2018-04-03 18:50:50,2464672
1953,2018-04-03 22:26:21,2625319
2183,2018-04-04 03:58:59,2842611
2194,2018-04-04 04:52:26,2778771
2221,2018-04-04 05:24:26,2791218
2234,2018-04-04 05:34:11,2760341
2236,2018-04-04 05:34:49,2688988
2456,2018-04-04 10:22:29,3073588
2484,2018-04-04 10:33:18,2964357
3018,2018-04-04 19:49:36,3496931
3096,2018-04-04 21:02:25,3454197
3190,2018-04-04 23:10:43,3592023
3235,2018-04-04 23:38:56,3540501
3236,2018-04-04 23:39:01,3539743
3327,2018-04-05 02:24:49,3626007
3339,2018-04-05 03:08:13,3742693
3402,2018-04-05 05:16:06,3895221
3530,2018-04-05 09:01:11,4139553
3725,2018-04-05 12:43:47,4031423
3784,2018-04-05 13:55:25,4698587
3963,2018-04-05 16:07:56,4806892
4006,2018-04-05 16:39:38,4823760
4068,2018-04-05 17:20:45,4880546
4217,2018-04-05 21:13:51,4860607
4257,2018-04-05 22:10:46,4946728
4362,2018-04-06 00:00:40,5072138
4363,2018-04-06 00:01:01,5109178
4364,2018-04-06 00:01:02,5161034
4365,2018-04-06 00:01:02,5198074
4417,2018-04-06 01:15:36,5301003
4419,2018-04-06 01:17:10,5301734
4506,2018-04-06 05:41:13,5342381
4637,2018-04-06 10:47:20,5405768
4643,2018-04-06 11:00:24,5446439
4768,2018-04-06 15:06:40,5474436
4909,2018-04-06 17:37:28,5663693
5098,2018-04-06 22:53:06,5648512
5241,2018-04-07 07:59:50,5772324
5373,2018-04-07 12:35:40,6326230
5405,2018-04-07 14:52:08,6396132
5441,2018-04-07 16:06:27,6325000
5636,2018-04-07 22:50:30,6524608
5849,2018-04-08 09:00:19,6729351
5863,2018-04-08 10:07:01,6806778
5968,2018-04-08 13:32:13,6820941
6116,2018-04-08 17:54:04,6976443
6195,2018-04-08 19:21:44,6944200
