,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,18,2.0911577028258894,1,60,2.605288007554297,1,60,2.4750244857982366
hour,1,108,5.792929292929293,1,92,6.680387409200969,1,200,10.128256513026052
date,2,373,74.0,2,430,89.0,18,803,163.03225806451613
