,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,155,3.8115606936416175,1,455,4.51676861421641,1,456,4.802609907512986
hour,1,350,27.429284525790354,1,749,34.538709677419355,1,914,58.408320493066256
date,76,2582,549.5,151,3228,713.8,229,5654,1263.5666666666666
