,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,161,5.005076142131982,1,196,4.126782884310618,1,196,4.730371900826446
hour,1,162,14.085714285714285,1,201,18.08333333333333,1,242,30.93918918918919
date,28,687,246.5,38,523,325.5,66,1006,572.375
