,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,15,1.99265605875153,1,45,2.663276836158192,1,45,2.479775980087118
hour,1,85,6.434782608695652,1,90,8.602189781021897,1,175,12.186544342507643
date,6,385,74.0,13,572,107.13636363636364,21,957,181.13636363636363
