,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,38,2.160535117056856,1,63,2.458290422245108,1,63,2.4395604395604398
hour,1,58,7.313207547169812,1,123,8.648550724637682,1,142,14.009708737864075
date,47,377,129.2,54,320,159.13333333333333,106,675,288.6
