,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,160,2.985638079606073,1,173,3.5834200485605274,1,173,3.6590531561461783
hour,1,199,21.915662650602414,1,199,31.024024024024023,1,317,52.136094674556205
date,104,1156,454.75,223,1795,645.6875,327,2954,1101.375
