,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,24,2.427094668117519,1,50,3.3528138528138527,1,50,3.1105169340463457
hour,1,80,9.761487964989056,1,146,15.459081836327345,1,202,23.22243346007605
date,42,522,185.875,87,984,322.7083333333333,129,1492,508.9583333333333
