,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,36,2.114790906539433,1,44,2.660091743119266,1,44,2.647994467496542
hour,1,92,12.558333333333335,1,139,18.82792207792208,1,176,30.583067092651763
date,3,699,251.16666666666666,2,941,386.6,5,1640,638.1666666666666
