,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,199,2.9404145077720205,1,26,3.336659064994299,1,199,3.483779471724872
hour,1,199,17.38512035010941,1,149,24.38541666666667,1,211,39.781376518218615
date,1,715,294.25925925925924,4,1740,450.1923076923077,1,2283,727.8518518518518
