,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,59,2.429663608562691,1,53,2.6045056320400497,1,59,2.848719937936385
hour,1,108,13.024590163934429,1,114,17.198347107438018,1,206,29.142857142857146
date,41,685,198.625,57,721,260.125,125,1406,459.0
