,timestamp,amount_cumsum
3,2019-07-01 00:17:00,-93761
51,2019-07-01 01:10:00,-308942
52,2019-07-01 01:10:00,-308259
53,2019-07-01 01:10:00,-306660
54,2019-07-01 01:10:00,-305977
86,2019-07-01 01:59:00,-221495
414,2019-07-01 14:08:00,229767
525,2019-07-01 16:34:00,96555
526,2019-07-01 16:41:00,98883
527,2019-07-01 16:41:00,99445
528,2019-07-01 16:41:00,99980
529,2019-07-01 16:41:00,100515
530,2019-07-01 16:41:00,101184
688,2019-07-01 21:54:00,215555
843,2019-07-02 04:24:00,225787
844,2019-07-02 04:24:00,242349
845,2019-07-02 04:24:00,258911
846,2019-07-02 04:24:00,275473
847,2019-07-02 04:24:00,359360
848,2019-07-02 04:24:00,387106
849,2019-07-02 04:24:00,387629
850,2019-07-02 04:24:00,388251
851,2019-07-02 04:24:00,388749
980,2019-07-02 08:26:00,659754
1126,2019-07-02 13:55:00,682977
1127,2019-07-02 13:55:00,694971
1239,2019-07-02 19:39:00,592524
1240,2019-07-02 19:39:00,606101
1265,2019-07-02 20:42:00,360436
1547,2019-07-03 03:27:00,225786
1548,2019-07-03 03:27:00,263901
1842,2019-07-03 11:04:00,-194263
1937,2019-07-03 14:01:00,-237332
1938,2019-07-03 14:01:00,-233240
1939,2019-07-03 14:01:00,-192317
1940,2019-07-03 14:01:00,-191866
2045,2019-07-03 14:56:00,-611992
2046,2019-07-03 14:56:00,-510792
2047,2019-07-03 14:56:00,-410593
2380,2019-07-03 19:24:00,-605223
2381,2019-07-03 19:24:00,-604768
3415,2019-07-04 14:23:00,-430494
3765,2019-07-04 22:16:00,-199421
4555,2019-07-05 16:10:00,-166743
4556,2019-07-05 16:10:00,-233975
4980,2019-07-06 02:43:00,-194448
4981,2019-07-06 02:44:00,-210490
5112,2019-07-06 07:37:00,-486281
5137,2019-07-06 08:01:00,-486326
5138,2019-07-06 08:01:00,-386377
5139,2019-07-06 08:01:00,-378785
5140,2019-07-06 08:01:00,-377461
5150,2019-07-06 08:06:00,-573443
5151,2019-07-06 08:06:00,-441509
5452,2019-07-06 18:52:00,-438053
5453,2019-07-06 18:52:00,-438147
5644,2019-07-07 03:01:00,-289025
5645,2019-07-07 03:01:00,-287591
5646,2019-07-07 03:04:00,-286723
5718,2019-07-07 06:36:00,-28233
5754,2019-07-07 07:54:00,-23797
5853,2019-07-07 12:10:00,41976
6016,2019-07-07 22:35:00,278718
6597,2019-07-09 05:01:00,1130641
6658,2019-07-09 05:55:00,1017225
6766,2019-07-09 07:33:00,1058844
6772,2019-07-09 07:36:00,1118588
6864,2019-07-09 09:22:00,1154939
7222,2019-07-09 13:23:00,962274
7260,2019-07-09 14:02:00,836823
7261,2019-07-09 14:02:00,835036
7379,2019-07-09 15:39:00,926181
7380,2019-07-09 15:39:00,976277
7501,2019-07-09 16:46:00,535234
7502,2019-07-09 16:48:00,579770
7503,2019-07-09 16:49:00,622895
7504,2019-07-09 16:49:00,679785
7778,2019-07-09 20:53:00,378419
7827,2019-07-09 21:44:00,308380
7880,2019-07-09 23:03:00,531733
7881,2019-07-09 23:03:00,545918
7899,2019-07-09 23:32:00,330978
8118,2019-07-10 01:32:00,227972
8264,2019-07-10 06:23:00,490261
8327,2019-07-10 07:38:00,282617
8477,2019-07-10 09:39:00,248133
8478,2019-07-10 09:40:00,189186
8753,2019-07-10 11:26:00,441404
8795,2019-07-10 12:07:00,334422
8855,2019-07-10 12:38:00,299927
9021,2019-07-10 15:47:00,293893
9096,2019-07-10 17:28:00,214400
9137,2019-07-10 18:43:00,225734
9299,2019-07-10 23:15:00,234035
9322,2019-07-10 23:20:00,372744
9792,2019-07-11 07:03:00,52284
9895,2019-07-11 08:44:00,-256348
9896,2019-07-11 08:44:00,-258042
9897,2019-07-11 08:44:00,-259215
9940,2019-07-11 09:07:00,78514
9941,2019-07-11 09:07:00,77511
9942,2019-07-11 09:07:00,76357
10058,2019-07-11 10:08:00,-221059
10059,2019-07-11 10:08:00,-222205
10099,2019-07-11 10:44:00,-248645
10100,2019-07-11 10:44:00,-292242
10103,2019-07-11 10:44:00,-440550
10104,2019-07-11 10:44:00,-438852
10105,2019-07-11 10:44:00,-438474
11016,2019-07-13 06:01:00,-1043218
11049,2019-07-13 07:28:00,-1078584
11361,2019-07-13 18:24:00,-1182861
11426,2019-07-13 19:17:00,-1070360
11427,2019-07-13 19:17:00,-1068584
