,timestamp,amount_cumsum
0,2018-10-01 00:10:00,-22896
19,2018-10-01 00:49:00,-24473
23,2018-10-01 00:51:00,-17529
24,2018-10-01 00:53:00,-32155
25,2018-10-01 00:53:00,-33256
27,2018-10-01 00:56:00,-16885
30,2018-10-01 01:06:00,-15807
31,2018-10-01 01:08:00,-42338
35,2018-10-01 01:35:00,-1728
39,2018-10-01 01:42:00,-797
41,2018-10-01 02:14:00,-1469
48,2018-10-01 02:37:00,-2111
49,2018-10-01 03:50:00,-2219
50,2018-10-01 03:50:00,-30170
51,2018-10-01 03:54:00,-44192
52,2018-10-01 03:54:00,-64113
54,2018-10-01 03:56:00,-2082
55,2018-10-01 04:26:00,-39001
56,2018-10-01 04:27:00,-71490
57,2018-10-01 04:41:00,-73162
70,2018-10-01 05:40:00,-34198
71,2018-10-01 06:51:00,-55530
72,2018-10-01 06:51:00,-55827
76,2018-10-01 07:26:00,-29311
78,2018-10-01 09:03:00,-28203
96,2018-10-01 10:26:00,-31417
103,2018-10-01 11:03:00,-29611
130,2018-10-01 14:36:00,-113224
132,2018-10-01 15:34:00,-113157
139,2018-10-01 15:40:00,-110490
155,2018-10-01 18:49:00,-126990
175,2018-10-01 20:09:00,-161386
176,2018-10-01 21:27:00,-170947
177,2018-10-01 21:29:00,-161386
199,2018-10-01 22:36:00,-173383
200,2018-10-01 22:42:00,-175188
204,2018-10-01 22:51:00,-182428
206,2018-10-01 22:59:00,-182503
207,2018-10-01 23:14:00,-210189
209,2018-10-01 23:22:00,-182229
211,2018-10-02 00:27:00,-182199
227,2018-10-02 01:16:00,-195463
228,2018-10-02 01:19:00,-228424
229,2018-10-02 01:22:00,-222476
230,2018-10-02 01:22:00,-195358
231,2018-10-02 01:55:00,-196062
234,2018-10-02 01:56:00,-195171
235,2018-10-02 03:15:00,-200746
237,2018-10-02 03:16:00,-195058
242,2018-10-02 04:11:00,-192309
243,2018-10-02 04:34:00,-196052
244,2018-10-02 04:34:00,-217992
245,2018-10-02 04:35:00,-192287
246,2018-10-02 04:36:00,-237775
273,2018-10-02 06:29:00,-182480
277,2018-10-02 06:58:00,-184309
278,2018-10-02 07:00:00,-186241
279,2018-10-02 07:00:00,-189913
290,2018-10-02 07:49:00,-183934
292,2018-10-02 07:53:00,-182863
295,2018-10-02 08:38:00,-182768
296,2018-10-02 09:30:00,-183222
297,2018-10-02 09:30:00,-223286
305,2018-10-02 09:51:00,-179911
315,2018-10-02 11:09:00,-160511
328,2018-10-02 14:38:00,-141448
340,2018-10-02 16:32:00,-149158
345,2018-10-02 17:06:00,-137247
350,2018-10-02 18:45:00,-136924
354,2018-10-02 18:55:00,-136257
357,2018-10-02 19:04:00,-136392
358,2018-10-02 19:17:00,-136541
360,2018-10-02 19:21:00,-136316
368,2018-10-02 21:00:00,-144710
380,2018-10-02 23:21:00,-147141
388,2018-10-02 23:24:00,-145422
389,2018-10-02 23:24:00,-150796
390,2018-10-02 23:24:00,-182062
409,2018-10-02 23:38:00,-137303
474,2018-10-03 03:16:00,-126437
477,2018-10-03 03:45:00,-125803
478,2018-10-03 03:57:00,-128017
479,2018-10-03 03:57:00,-128319
481,2018-10-03 03:59:00,-125482
482,2018-10-03 04:28:00,-128516
508,2018-10-03 07:06:00,-139174
531,2018-10-03 09:42:00,-171757
532,2018-10-03 10:05:00,-240340
533,2018-10-03 10:16:00,-208580
534,2018-10-03 10:16:00,-184335
535,2018-10-03 10:16:00,-176821
536,2018-10-03 10:16:00,-172508
558,2018-10-03 11:14:00,-183959
559,2018-10-03 11:22:00,-218020
601,2018-10-03 12:29:00,-260154
606,2018-10-03 13:15:00,-248390
613,2018-10-03 15:16:00,-247646
622,2018-10-03 16:36:00,-242490
623,2018-10-03 16:58:00,-242996
631,2018-10-03 20:40:00,-229128
633,2018-10-03 21:12:00,-229589
634,2018-10-03 21:35:00,-229867
641,2018-10-03 23:32:00,-218885
644,2018-10-04 00:32:00,-218194
645,2018-10-04 00:41:00,-218855
650,2018-10-04 01:01:00,-217328
659,2018-10-04 02:37:00,-191278
660,2018-10-04 05:53:00,-191968
686,2018-10-04 06:20:00,-186384
687,2018-10-04 07:04:00,-212893
688,2018-10-04 07:04:00,-226057
689,2018-10-04 07:07:00,-221381
690,2018-10-04 07:09:00,-219242
694,2018-10-04 08:15:00,-182354
695,2018-10-04 10:03:00,-182588
696,2018-10-04 10:03:00,-189765
700,2018-10-04 10:07:00,-182407
703,2018-10-04 10:09:00,-181743
708,2018-10-04 10:36:00,-180722
709,2018-10-04 11:05:00,-180880
714,2018-10-04 11:05:00,-180723
715,2018-10-04 13:03:00,-184815
716,2018-10-04 13:03:00,-199350
717,2018-10-04 13:31:00,-252423
718,2018-10-04 16:40:00,-180920
730,2018-10-04 17:10:00,-156473
739,2018-10-04 17:38:00,-151912
740,2018-10-04 19:45:00,-152638
747,2018-10-04 22:25:00,-174225
755,2018-10-04 23:40:00,-173283
760,2018-10-05 04:19:00,-172411
766,2018-10-05 04:32:00,-169260
767,2018-10-05 04:34:00,-170316
774,2018-10-05 04:44:00,-169641
775,2018-10-05 04:49:00,-170317
776,2018-10-05 04:49:00,-198535
777,2018-10-05 05:11:00,-172272
778,2018-10-05 05:11:00,-169374
779,2018-10-05 05:12:00,-169714
798,2018-10-05 06:39:00,-184665
799,2018-10-05 08:09:00,-184665
802,2018-10-05 08:11:00,-185799
804,2018-10-05 10:00:00,-184807
805,2018-10-05 11:06:00,-199858
838,2018-10-05 12:20:00,-220958
839,2018-10-05 12:20:00,-210964
840,2018-10-05 12:21:00,-154396
841,2018-10-05 14:17:00,-205000
843,2018-10-05 14:37:00,-154297
847,2018-10-05 14:53:00,-153776
864,2018-10-05 15:54:00,-143655
879,2018-10-05 16:39:00,-141632
890,2018-10-05 17:32:00,-140896
937,2018-10-05 21:21:00,-107013
949,2018-10-05 23:13:00,-106271
950,2018-10-06 00:20:00,-106551
955,2018-10-06 01:05:00,-82291
969,2018-10-06 03:15:00,-68421
973,2018-10-06 03:35:00,-68129
974,2018-10-06 04:27:00,-70711
977,2018-10-06 04:29:00,-68105
995,2018-10-06 07:07:00,-58282
996,2018-10-06 07:07:00,-86544
997,2018-10-06 07:07:00,-104813
998,2018-10-06 07:07:00,-107897
999,2018-10-06 07:08:00,-123691
1010,2018-10-06 07:10:00,-60643
1011,2018-10-06 07:15:00,-61002
1024,2018-10-06 07:26:00,-63277
1026,2018-10-06 09:01:00,-63259
1028,2018-10-06 10:54:00,-132068
