,timestamp,amount_cumsum
1,2019-02-21 13:57:00,20
6,2019-02-21 14:15:00,-4021
21,2019-02-21 14:50:00,4132
191,2019-02-21 15:01:00,51775
194,2019-02-21 15:03:00,51694
200,2019-02-21 15:09:00,33909
205,2019-02-21 15:15:00,29285
226,2019-02-21 15:39:00,17188
237,2019-02-21 15:57:00,6941
239,2019-02-21 16:00:00,6615
241,2019-02-21 16:11:00,35634
244,2019-02-21 16:35:00,31506
248,2019-02-21 17:31:00,45456
249,2019-02-21 17:31:00,12652
255,2019-02-21 17:31:00,48151
270,2019-02-21 17:44:00,34908
281,2019-02-21 17:53:00,31037
284,2019-02-21 18:02:00,31267
285,2019-02-21 18:04:00,26959
286,2019-02-21 18:04:00,-6208
289,2019-02-21 18:04:00,31168
298,2019-02-21 18:06:00,38396
300,2019-02-21 18:14:00,38441
303,2019-02-21 18:19:00,38389
310,2019-02-21 18:30:00,37658
313,2019-02-21 18:36:00,40587
326,2019-02-21 18:39:00,30982
336,2019-02-21 18:46:00,47798
338,2019-02-21 18:58:00,47233
364,2019-02-21 19:56:00,27380
472,2019-02-21 20:17:00,22231
483,2019-02-21 20:36:00,15730
499,2019-02-21 21:21:00,24898
500,2019-02-21 21:47:00,3699
674,2019-02-22 00:30:00,743
677,2019-02-22 00:58:00,665
762,2019-02-22 03:15:00,-25724
764,2019-02-22 03:52:00,-25961
871,2019-02-22 06:25:00,-9789
921,2019-02-22 07:21:00,-10342
1032,2019-02-22 09:00:00,-16776
1061,2019-02-22 09:40:00,-32248
1093,2019-02-22 10:31:00,-23181
1120,2019-02-22 11:00:00,-44209
1126,2019-02-22 11:11:00,-45770
1132,2019-02-22 11:19:00,-45410
1136,2019-02-22 12:42:00,-45815
1138,2019-02-22 15:07:00,-45699
1161,2019-02-22 16:36:00,-67539
1162,2019-02-22 17:11:00,-69848
1183,2019-02-22 17:24:00,-57446
1184,2019-02-22 17:30:00,-71581
1185,2019-02-22 17:31:00,-57659
1192,2019-02-22 17:56:00,-58814
1208,2019-02-22 20:49:00,-67871
1209,2019-02-22 20:55:00,-92021
1211,2019-02-22 20:56:00,-67563
1212,2019-02-22 21:23:00,-107214
1213,2019-02-22 21:24:00,-67622
1228,2019-02-23 00:20:00,-94364
1232,2019-02-23 00:36:00,-95479
1236,2019-02-23 07:00:00,-96144
1238,2019-02-23 07:54:00,-95340
1241,2019-02-23 09:03:00,-94994
1251,2019-02-23 10:34:00,-95933
1253,2019-02-23 10:54:00,-96000
1256,2019-02-23 12:45:00,-95873
1258,2019-02-23 14:15:00,-95907
1259,2019-02-23 16:43:00,-136752
1260,2019-02-23 16:47:00,-95939
1278,2019-02-23 17:40:00,-103264
1282,2019-02-23 18:18:00,-103481
1287,2019-02-23 19:15:00,-103479
1290,2019-02-23 21:17:00,-104939
1291,2019-02-24 01:56:00,-124010
1292,2019-02-24 01:58:00,-104893
1302,2019-02-24 02:06:00,-104383
1325,2019-02-24 02:21:00,56528
1326,2019-02-24 02:21:00,71135
1338,2019-02-24 02:40:00,98257
1348,2019-02-24 02:42:00,92566
1356,2019-02-24 02:48:00,127564
1359,2019-02-24 02:51:00,127834
1368,2019-02-24 02:57:00,126859
1369,2019-02-24 03:00:00,85787
1378,2019-02-24 03:02:00,126542
1380,2019-02-24 03:07:00,126674
1390,2019-02-24 03:14:00,140410
1395,2019-02-24 04:34:00,109003
1396,2019-02-24 04:34:00,113625
1403,2019-02-24 04:48:00,108505
1405,2019-02-24 05:11:00,109897
1411,2019-02-24 05:36:00,140205
1486,2019-02-24 06:13:00,129741
1597,2019-02-24 07:15:00,128635
1603,2019-02-24 07:42:00,128254
1607,2019-02-24 08:24:00,126804
1610,2019-02-24 08:53:00,125780
1777,2019-02-24 09:15:00,108059
1778,2019-02-24 09:35:00,92836
1779,2019-02-24 09:36:00,108060
1788,2019-02-24 10:31:00,102616
1820,2019-02-24 11:39:00,142071
1821,2019-02-24 11:39:00,142369
1842,2019-02-24 11:58:00,112103
1845,2019-02-24 12:03:00,115057
1849,2019-02-24 12:18:00,121138
1850,2019-02-24 12:22:00,104771
1853,2019-02-24 12:24:00,121025
1859,2019-02-24 12:34:00,118724
1868,2019-02-24 12:38:00,95902
1877,2019-02-24 12:53:00,85884
1881,2019-02-24 13:32:00,81207
1885,2019-02-24 14:59:00,80585
1888,2019-02-24 15:06:00,77073
1890,2019-02-24 15:25:00,81426
2007,2019-02-24 16:21:00,58188
2009,2019-02-24 16:56:00,54710
2013,2019-02-24 17:08:00,53159
2025,2019-02-24 17:50:00,40837
2029,2019-02-24 18:11:00,40843
2034,2019-02-24 19:03:00,39961
2038,2019-02-24 19:24:00,37552
2042,2019-02-24 21:28:00,51157
2043,2019-02-24 21:54:00,45802
2044,2019-02-24 21:57:00,31070
2046,2019-02-24 22:01:00,48899
2049,2019-02-24 22:54:00,44866
2052,2019-02-24 22:57:00,44303
2053,2019-02-24 22:58:00,15474
2054,2019-02-24 22:59:00,44274
2069,2019-02-24 23:04:00,21180
2072,2019-02-24 23:06:00,22524
