,timestamp,amount_cumsum
0,2018-11-01 00:00:00,14561
8,2018-11-01 00:49:00,-53706
40,2018-11-01 06:06:00,19647
65,2018-11-02 03:47:00,35013
81,2018-11-02 22:01:00,1552
95,2018-11-03 04:12:00,23897
96,2018-11-03 05:06:00,31815
234,2018-11-04 15:57:00,-5489
263,2018-11-05 00:56:00,-150785
266,2018-11-05 01:16:00,-85283
297,2018-11-05 03:28:00,-141236
298,2018-11-05 03:28:00,-141240
308,2018-11-05 03:40:00,-134516
311,2018-11-05 05:32:00,-116207
334,2018-11-05 09:19:00,-111642
335,2018-11-05 09:32:00,-67400
344,2018-11-05 09:57:00,-135140
353,2018-11-05 19:18:00,-168872
392,2018-11-06 03:42:00,-123800
393,2018-11-06 04:24:00,-123793
428,2018-11-06 14:47:00,-165855
459,2018-11-07 01:37:00,-136246
460,2018-11-07 04:55:00,-86656
475,2018-11-07 07:51:00,-156078
476,2018-11-07 09:00:00,-146591
513,2018-11-07 09:24:00,-250567
533,2018-11-07 10:27:00,-188264
545,2018-11-07 11:53:00,-198940
590,2018-11-07 23:33:00,-152419
603,2018-11-08 01:32:00,-182270
628,2018-11-08 12:37:00,-135229
647,2018-11-08 13:00:00,-133525
667,2018-11-09 00:53:00,-244181
690,2018-11-09 01:21:00,-216654
691,2018-11-09 04:02:00,-213859
704,2018-11-09 08:37:00,-211170
746,2018-11-09 17:44:00,-206043
747,2018-11-09 17:56:00,-203516
760,2018-11-09 19:10:00,-195480
770,2018-11-09 22:39:00,-192365
794,2018-11-10 06:16:00,-194542
822,2018-11-11 08:54:00,-205045
863,2018-11-11 18:54:00,-189320
865,2018-11-11 20:47:00,-195792
871,2018-11-12 00:01:00,-154788
876,2018-11-12 01:03:00,-133384
895,2018-11-12 09:01:00,-249292
896,2018-11-12 09:06:00,-246999
937,2018-11-13 01:21:00,-245333
1008,2018-11-14 06:48:00,-267242
1009,2018-11-14 06:49:00,-263724
1010,2018-11-14 06:59:00,-214006
1063,2018-11-14 20:17:00,-109589
1118,2018-11-15 00:05:00,-26507
1156,2018-11-15 01:01:00,26394
1226,2018-11-15 01:31:00,312219
1321,2018-11-15 01:57:00,407064
1329,2018-11-15 02:01:00,470147
1358,2018-11-15 02:06:00,452410
1381,2018-11-15 02:34:00,539136
1513,2018-11-15 04:27:00,738869
1536,2018-11-15 04:40:00,751229
1556,2018-11-15 04:52:00,754719
1557,2018-11-15 04:54:00,758051
1567,2018-11-15 05:12:00,879914
1740,2018-11-15 08:58:00,757967
1754,2018-11-15 09:48:00,753520
1859,2018-11-15 13:22:00,1216671
1865,2018-11-15 13:41:00,1227657
1866,2018-11-15 13:45:00,1232875
1918,2018-11-15 16:58:00,1148276
1962,2018-11-15 19:24:00,1470909
1963,2018-11-15 19:27:00,1515133
1964,2018-11-15 19:42:00,1522083
2023,2018-11-15 23:25:00,1499969
2024,2018-11-15 23:38:00,1515226
2057,2018-11-15 23:51:00,1584739
2065,2018-11-15 23:53:00,1546164
2067,2018-11-15 23:56:00,1559796
2068,2018-11-15 23:58:00,1613442
2109,2018-11-16 00:11:00,1275310
2164,2018-11-16 01:22:00,1324390
2175,2018-11-16 01:41:00,1555090
2223,2018-11-16 02:11:00,1344796
2237,2018-11-16 02:28:00,1308689
2238,2018-11-16 02:32:00,1340972
