,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-06-01,310,-129920,200,397165399,110,-397295319
2018-06-02,261,25622,145,464109444,116,-464083822
2018-06-03,187,245492,119,325519864,68,-325274372
2018-06-04,243,-2210226,149,317923970,94,-320134196
2018-06-05,248,-9120806,165,424094327,83,-433215133
2018-06-06,248,-12366947,165,495634644,83,-508001591
2018-06-07,311,-518206,193,562004414,118,-562522620
2018-06-08,228,25160054,167,402262697,61,-377102643
2018-06-09,142,254221,87,313108123,55,-312853902
2018-06-10,374,-12636841,254,493243872,120,-505880713
2018-06-11,477,-3650986,314,596492799,163,-600143785
2018-06-12,329,6501387,247,550759999,82,-544258612
2018-06-13,477,8520389,325,710454247,152,-701933858
2018-06-14,563,-12375358,373,819006397,190,-831381755
2018-06-15,528,-7885079,280,664713185,248,-672598264
2018-06-16,156,17410635,109,260266773,47,-242856138
2018-06-17,255,5861253,166,309147185,89,-303285932
2018-06-18,231,-18665536,150,378757153,81,-397422689
2018-06-19,313,11099457,190,499377359,123,-488277902
2018-06-20,334,-39860,204,428857080,130,-428896940
2018-06-21,189,7908171,132,292838254,57,-284930083
2018-06-22,294,-7857717,176,691006101,118,-698863818
2018-06-23,302,7397843,182,491277113,120,-483879270
2018-06-24,267,106854,161,333019959,106,-332913105
2018-06-25,265,82444,164,391013600,101,-390931156
2018-06-26,287,197792,179,403258681,108,-403060889
2018-06-27,196,-9017302,122,247226177,74,-256243479
2018-06-28,191,8944514,137,206686764,54,-197742250
2018-06-29,295,-22237,191,253289184,104,-253311421
2018-06-30,278,1294735,141,194679324,137,-193384589
