,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-05-01,505,-17802234,302,717288802,203,-735091036
2018-05-02,407,8295332,212,556368315,195,-548072983
2018-05-03,527,10138584,291,853401686,236,-843263102
2018-05-04,1002,545803,581,1812511408,421,-1811965605
2018-05-05,559,340552,321,955927119,238,-955586567
2018-05-06,689,-15021496,447,1079537488,242,-1094558984
2018-05-07,1015,-9802781,720,1633907661,295,-1643710442
2018-05-08,1157,-4478454,796,2261280750,361,-2265759204
2018-05-09,1061,32020288,668,1790217680,393,-1758197392
2018-05-10,498,-15454910,289,918973913,209,-934428823
2018-05-11,1106,15948021,710,1748230958,396,-1732282937
2018-05-12,1494,716218,950,1844350809,544,-1843634591
2018-05-13,1415,506235,916,1876379212,499,-1875872977
2018-05-14,1185,748015,714,2061334907,471,-2060586892
2018-05-15,1292,26258,945,2460913560,347,-2460887302
2018-05-16,1284,-33671859,828,2052901506,456,-2086573365
2018-05-17,928,35135338,602,1546594426,326,-1511459088
2018-05-18,922,827709,649,1514323102,273,-1513495393
2018-05-19,573,722379,362,889631353,211,-888908974
2018-05-20,506,-26828987,330,789460214,176,-816289201
2018-05-21,624,28321486,395,954023745,229,-925702259
2018-05-22,484,-23719995,351,833107084,133,-856827079
2018-05-23,703,23599623,485,1147547739,218,-1123948116
2018-05-24,885,-12506828,500,1055529545,385,-1068036373
2018-05-25,487,12749313,294,681984676,193,-669235363
2018-05-26,257,-13815553,172,261136899,85,-274952452
2018-05-27,222,3720588,138,237710205,84,-233989617
2018-05-28,311,-5858398,188,431632616,123,-437491014
2018-05-29,448,16548664,251,524002315,197,-507453651
2018-05-30,378,187538,216,580552058,162,-580364520
2018-05-31,370,531831,245,563514765,125,-562982934
