,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-04-01,574,1386872,362,790414965,212,-789028093
2018-04-02,659,-21457689,415,950454757,244,-971912446
2018-04-03,810,23933671,441,1309994311,369,-1286060640
2018-04-04,1210,-6326630,727,1981767991,483,-1988094621
2018-04-05,1108,-1360634,683,1915700797,425,-1917061431
2018-04-06,756,10139368,457,1004494722,299,-994355354
2018-04-07,538,1339931,336,924544880,202,-923204949
2018-04-08,723,-11691662,418,1167014992,305,-1178706654
2018-04-09,1342,-3960911,778,2338009925,564,-2341970836
2018-04-10,952,12016914,614,1689052815,338,-1677035901
2018-04-11,773,-5561908,489,1226544111,284,-1232106019
2018-04-12,1600,-914872,931,2706995233,669,-2707910105
2018-04-13,1387,-9821100,774,2302904135,613,-2312725235
2018-04-14,678,3804128,410,1017852716,268,-1014048588
2018-04-15,603,-9266205,343,1089467498,260,-1098733703
2018-04-16,723,30707319,416,1339980208,307,-1309272889
2018-04-17,643,-474549,361,952021004,282,-952495553
2018-04-18,777,1721406,479,1143349230,298,-1141627824
2018-04-19,791,890354,427,1452070241,364,-1451179887
2018-04-20,1160,2101743,761,2023523659,399,-2021421916
2018-04-21,1243,-34376634,754,2256308015,489,-2290684649
2018-04-22,727,22892512,409,1161811293,318,-1138918781
2018-04-23,764,-24091452,487,1507810816,277,-1531902268
2018-04-24,930,39752051,538,1586486845,392,-1546734794
2018-04-25,1526,2419432,781,2304753922,745,-2302334490
2018-04-26,1329,-4840848,699,2042726635,630,-2047567483
2018-04-27,1031,-23839081,578,1858617537,453,-1882456618
2018-04-28,1062,9683467,608,1550586150,454,-1540902683
2018-04-29,720,20795312,408,1032470610,312,-1011675298
2018-04-30,651,75735,354,1007830212,297,-1007754477
