,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-02-01,0,0,0,0,0,0
2018-02-02,0,0,0,0,0,0
2018-02-03,0,0,0,0,0,0
2018-02-04,0,0,0,0,0,0
2018-02-05,0,0,0,0,0,0
2018-02-06,0,0,0,0,0,0
2018-02-07,0,0,0,0,0,0
2018-02-08,0,0,0,0,0,0
2018-02-09,0,0,0,0,0,0
2018-02-10,0,0,0,0,0,0
2018-02-11,0,0,0,0,0,0
2018-02-12,0,0,0,0,0,0
2018-02-13,0,0,0,0,0,0
2018-02-14,931,-13986080,587,1531487209,344,-1545473289
2018-02-15,1487,734092,867,2529253711,620,-2528519619
2018-02-16,1208,17687643,684,2228838934,524,-2211151291
2018-02-17,688,1432140,357,1374558420,331,-1373126280
2018-02-18,1047,-12068675,560,2165526961,487,-2177595636
2018-02-19,892,13935899,517,1759974379,375,-1746038480
2018-02-20,1523,1998820,908,3007532623,615,-3005533803
2018-02-21,2212,-274696,1293,5373720824,919,-5373995520
2018-02-22,2119,-7300157,1235,4978452013,884,-4985752170
2018-02-23,1373,11705392,842,3178734522,531,-3167029130
2018-02-24,915,1013740,581,1965575540,334,-1964561800
2018-02-25,689,570258,426,1612991345,263,-1612421087
2018-02-26,1148,-10570854,684,2736765547,464,-2747336401
2018-02-27,1058,-6746483,583,2866889083,475,-2873635566
2018-02-28,1077,21926406,633,2507614791,444,-2485688385
