,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-03-01,1042,842310,629,1729078736,413,-1728236426
2018-03-02,1224,-9850277,706,2567799686,518,-2577649963
2018-03-03,1406,12052822,797,2843235983,609,-2831183161
2018-03-04,1278,-17687024,708,2635126328,570,-2652813352
2018-03-05,613,-2474659,350,1151553242,263,-1154027901
2018-03-06,0,0,0,0,0,0
2018-03-07,0,0,0,0,0,0
2018-03-08,1049,-11229029,597,2057855852,452,-2069084881
2018-03-09,1028,14113709,630,2029628337,398,-2015514628
2018-03-10,1119,1472564,670,2092984542,449,-2091511978
2018-03-11,928,1168065,566,1647154408,362,-1645986343
2018-03-12,1144,1339762,666,2172887664,478,-2171547902
2018-03-13,1216,534832,791,2634083924,425,-2633549092
2018-03-14,731,579270,449,1487680380,282,-1487101110
2018-03-15,1081,1668246,655,2172246406,426,-2170578160
2018-03-16,772,-492516,511,1208244204,261,-1208736720
2018-03-17,666,-19028555,422,1142256616,244,-1161285171
2018-03-18,1046,19884617,661,1655232203,385,-1635347586
2018-03-19,1346,7314411,769,2649213976,577,-2641899565
2018-03-20,1744,2737783,1122,3272418009,622,-3269680226
2018-03-21,1706,-2746455,1070,3677377266,636,-3680123721
2018-03-22,1782,5255741,1179,3543600809,603,-3538345068
2018-03-23,1178,857685,774,2091273273,404,-2090415588
2018-03-24,1389,-13545062,851,2457649721,538,-2471194783
2018-03-25,1176,15396091,689,2062421043,487,-2047024952
2018-03-26,1149,-230397,760,1681001400,389,-1681231797
2018-03-27,1341,-15649586,834,1998762896,507,-2014412482
2018-03-28,1240,17142294,837,2004241259,403,-1987098965
2018-03-29,765,381138,512,979289919,253,-978908781
2018-03-30,1027,-16682822,645,1667576198,382,-1684259020
2018-03-31,963,19011544,603,1357841319,360,-1338829775
