,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-07-01,174,-14585370,89,158823921,85,-173409291
2018-07-02,356,15168016,194,441072493,162,-425904477
2018-07-03,736,167826,413,877967396,323,-877799570
2018-07-04,689,-18993006,380,695114238,309,-714107244
2018-07-05,488,19456952,273,480702139,215,-461245187
2018-07-06,573,-21771154,315,517981794,258,-539752948
2018-07-07,521,6844664,281,561599793,240,-554755129
2018-07-08,447,15315231,229,720593542,218,-705278311
2018-07-09,766,-12685945,467,1163342270,299,-1176028215
2018-07-10,812,-9070107,431,1103232833,381,-1112302940
2018-07-11,763,18322011,442,881842972,321,-863520961
2018-07-12,517,-16529390,280,766445183,237,-782974573
2018-07-13,741,108019,433,813886806,308,-813778787
2018-07-14,492,-2453009,307,544509212,185,-546962221
2018-07-15,595,4226376,295,681902774,300,-677676398
2018-07-16,794,14644517,416,1211141745,378,-1196497228
2018-07-17,3,2328518,2,2431170,1,-102652
2018-07-18,0,0,0,0,0,0
2018-07-19,0,0,0,0,0,0
2018-07-20,0,0,0,0,0,0
2018-07-21,0,0,0,0,0,0
2018-07-22,0,0,0,0,0,0
2018-07-23,0,0,0,0,0,0
2018-07-24,0,0,0,0,0,0
2018-07-25,0,0,0,0,0,0
2018-07-26,0,0,0,0,0,0
2018-07-27,0,0,0,0,0,0
2018-07-28,0,0,0,0,0,0
2018-07-29,0,0,0,0,0,0
2018-07-30,0,0,0,0,0,0
2018-07-31,0,0,0,0,0,0
