,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,44,1.7148962148962148,1,32,2.017915309446254,1,44,2.099026851684988
hour,1,73,11.802521008403364,1,129,20.535911602209946,1,198,31.954732510288068
date,1,544,263.34375,138,950,479.61290322580646,1,1494,727.96875
