,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,18,1.4436906377204886,1,15,1.6971445929526123,1,19,1.6970809974869514
hour,1,42,5.5706806282722505,1,70,9.040453074433655,1,101,13.91283676703645
date,47,248,106.4,87,373,186.23333333333332,142,563,292.6333333333333
