,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-11-01,65,14337871,36,56049624,29,-41711753
2018-11-02,30,23191,24,28763979,6,-28740788
2018-11-03,97,-6948033,67,29540622,30,-36488655
2018-11-04,67,6895267,18,30015435,49,-23120168
2018-11-05,109,-25103,48,119288694,61,-119313797
2018-11-06,90,6200,45,68714475,45,-68708275
2018-11-07,133,-14441812,69,107064578,64,-121506390
2018-11-08,75,4034927,47,79586071,28,-75551144
2018-11-09,116,7285490,83,85634187,33,-78348697
2018-11-10,21,3103088,13,25351081,8,-22247993
2018-11-11,68,19345,49,57454791,19,-57435446
2018-11-12,55,-45474,30,53877170,25,-53922644
2018-11-13,55,-1595,36,31730976,19,-31732571
2018-11-14,137,-1364102,71,50406302,66,-51770404
2018-11-15,957,-9437562,572,548137656,385,-557575218
2018-11-16,431,10671321,232,248337350,199,-237666029
2018-11-17,98,-1405346,56,45784463,42,-47189809
2018-11-18,72,-1881095,38,26526810,34,-28407905
2018-11-19,222,3258990,154,132019876,68,-128760886
2018-11-20,0,0,0,0,0,0
2018-11-21,0,0,0,0,0,0
2018-11-22,0,0,0,0,0,0
2018-11-23,0,0,0,0,0,0
2018-11-24,0,0,0,0,0,0
2018-11-25,0,0,0,0,0,0
2018-11-26,0,0,0,0,0,0
2018-11-27,0,0,0,0,0,0
2018-11-28,74,955,46,53602468,28,-53601513
2018-11-29,480,190123,316,324718160,164,-324528037
2018-11-30,533,-5894,307,300157365,226,-300163259
