,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-08-01,0,0,0,0,0,0
2018-08-02,0,0,0,0,0,0
2018-08-03,0,0,0,0,0,0
2018-08-04,0,0,0,0,0,0
2018-08-05,0,0,0,0,0,0
2018-08-06,0,0,0,0,0,0
2018-08-07,0,0,0,0,0,0
2018-08-08,1396,56402704,874,1444902260,522,-1388499556
2018-08-09,1492,-35741956,984,1103105278,506,-1138847234
2018-08-10,980,-10239554,532,672667548,448,-682907102
2018-08-11,1150,15657118,864,870248654,284,-854591536
2018-08-12,440,904614,259,367116431,180,-366211817
2018-08-13,454,-4297854,286,390649583,167,-394947437
2018-08-14,809,-931164,574,680850521,235,-681781685
2018-08-15,636,19984522,392,504132688,244,-484148166
2018-08-16,562,-6059726,377,466611113,185,-472670839
2018-08-17,611,7548718,397,475565347,213,-468016629
2018-08-18,634,250396,391,549137075,243,-548886679
2018-08-19,208,346330,137,166214906,71,-165868576
2018-08-20,325,546843,220,376673678,105,-376126835
2018-08-21,268,-779107,179,225309271,89,-226088378
2018-08-22,237,-11523720,141,305520462,96,-317044182
2018-08-23,245,12836750,141,244221449,104,-231384699
2018-08-24,129,-20880077,87,155295014,42,-176175091
2018-08-25,163,21216488,90,162403905,73,-141187417
2018-08-26,185,-5165021,101,139189177,84,-144354198
2018-08-27,219,4862641,140,198029879,77,-193167238
2018-08-28,226,658551,109,253258137,117,-252599586
2018-08-29,252,-26201732,138,304913298,114,-331115030
2018-08-30,309,25800366,182,325679457,127,-299879091
2018-08-31,285,-30911509,150,312982097,135,-343893606
