,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-12-01,0,0,0,0,0,0
2018-12-02,334,-170441,211,190655671,123,-190826112
2018-12-03,246,175400,162,181207581,83,-181032181
2018-12-04,0,0,0,0,0,0
2018-12-05,0,0,0,0,0,0
2018-12-06,0,0,0,0,0,0
2018-12-07,0,0,0,0,0,0
2018-12-08,0,0,0,0,0,0
2018-12-09,0,0,0,0,0,0
2018-12-10,0,0,0,0,0,0
2018-12-11,0,0,0,0,0,0
2018-12-12,0,0,0,0,0,0
2018-12-13,0,0,0,0,0,0
2018-12-14,0,0,0,0,0,0
2018-12-15,0,0,0,0,0,0
2018-12-16,0,0,0,0,0,0
2018-12-17,0,0,0,0,0,0
2018-12-18,0,0,0,0,0,0
2018-12-19,125,48014,61,59819114,64,-59771100
2018-12-20,1045,-6385830,600,511010007,444,-517395837
2018-12-21,1406,6321246,721,623223575,685,-616902329
2018-12-22,201,-179293,135,108705314,66,-108884607
2018-12-23,0,0,0,0,0,0
2018-12-24,0,0,0,0,0,0
2018-12-25,0,0,0,0,0,0
2018-12-26,0,0,0,0,0,0
2018-12-27,140,-46316,57,55045007,83,-55091323
2018-12-28,175,-446386,134,119682998,41,-120129384
2018-12-29,0,0,0,0,0,0
2018-12-30,0,0,0,0,0,0
2018-12-31,0,0,0,0,0,0
