,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2019-02-01,0,0,0,0,0,0
2019-02-02,0,0,0,0,0,0
2019-02-03,0,0,0,0,0,0
2019-02-04,0,0,0,0,0,0
2019-02-05,0,0,0,0,0,0
2019-02-06,0,0,0,0,0,0
2019-02-07,0,0,0,0,0,0
2019-02-08,0,0,0,0,0,0
2019-02-09,0,0,0,0,0,0
2019-02-10,0,0,0,0,0,0
2019-02-11,0,0,0,0,0,0
2019-02-12,0,0,0,0,0,0
2019-02-13,0,0,0,0,0,0
2019-02-14,0,0,0,0,0,0
2019-02-15,0,0,0,0,0,0
2019-02-16,0,0,0,0,0,0
2019-02-17,0,0,0,0,0,0
2019-02-18,0,0,0,0,0,0
2019-02-19,0,0,0,0,0,0
2019-02-20,0,0,0,0,0,0
2019-02-21,664,-12735738,332,235153054,332,-247888792
2019-02-22,561,-414093,164,141382200,397,-141796293
2019-02-23,66,13044892,38,27070007,28,-14025115
2019-02-24,1006,-12536287,319,431903008,687,-444439295
2019-02-25,637,-11850525,445,460287791,192,-472138316
2019-02-26,484,13326461,358,514769459,124,-501442998
2019-02-27,500,-1404417,425,253155979,75,-254560396
2019-02-28,661,12434234,523,352148551,137,-339714317
