,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-10-01,210,-182229,108,141463787,102,-141646016
2018-10-02,200,44926,89,137620675,111,-137575749
2018-10-03,232,-81582,149,156927720,83,-157009302
2018-10-04,114,45602,51,64251123,63,-64205521
2018-10-05,194,67012,114,138100559,79,-138033547
2018-10-06,133,-14391627,53,62296663,80,-76688290
2018-10-07,77,2196040,46,50922208,31,-48726168
2018-10-08,105,10450011,45,103834016,60,-93384005
2018-10-09,90,725935,42,47355032,48,-46629097
2018-10-10,229,-1763649,134,103210198,95,-104973847
2018-10-11,803,2222943,430,322161531,373,-319938588
2018-10-12,309,-9655840,183,183064516,126,-192720356
2018-10-13,96,10435398,70,61527893,26,-51092495
2018-10-14,130,-14340885,94,48694466,36,-63035351
2018-10-15,718,1803702,377,488823845,341,-487020143
2018-10-16,145,12400053,71,131944428,74,-119544375
2018-10-17,188,-98796,123,103771220,65,-103870016
2018-10-18,125,84334,47,30427848,78,-30343514
2018-10-19,148,12986,88,97310916,60,-97297930
2018-10-20,92,17160,37,60525790,55,-60508630
2018-10-21,128,38693,98,23206679,30,-23167986
2018-10-22,70,-8412664,34,25546491,36,-33959155
2018-10-23,90,8383935,56,48943633,34,-40559698
2018-10-24,105,-14636828,61,62151781,44,-76788609
2018-10-25,100,14605725,55,72448868,45,-57843143
2018-10-26,36,-8484447,22,24342920,14,-32827367
2018-10-27,18,8501046,16,15024482,2,-6523436
2018-10-28,18,-2885372,10,11763477,8,-14648849
2018-10-29,76,2895596,26,77572456,50,-74676860
2018-10-30,50,51304,28,57229952,22,-57178648
2018-10-31,25,-14196462,2,14250194,23,-28446656
