,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2018-07-01,0,0,0,0,0,0
2018-07-02,13,95124,7,138976,6,-43852
2018-07-03,27,-16,13,103245,14,-103261
2018-07-04,263,5009556,160,84110804,103,-79101248
2018-07-05,570,-2576419,362,231574905,207,-234151324
2018-07-06,568,-1947479,382,228538374,186,-230485853
2018-07-07,853,-2807183,525,275120779,328,-277927962
2018-07-08,379,7430246,211,212508439,168,-205078193
2018-07-09,264,-7574743,162,166421794,102,-173996537
2018-07-10,481,7336041,314,354056305,166,-346720264
2018-07-11,418,-804098,264,258739801,154,-259543899
2018-07-12,5,29288,2,1097114,3,-1067826
2018-07-13,316,829136,196,214885443,120,-214056307
2018-07-14,521,-28441,358,176503931,163,-176532372
2018-07-15,192,-43551,119,92575925,73,-92619476
2018-07-16,345,24164,199,234672392,146,-234648228
2018-07-17,449,26431,252,279716612,196,-279690181
2018-07-18,1327,468665,724,754897636,601,-754428971
2018-07-19,1029,-9006087,628,620830069,399,-629836156
2018-07-20,463,-6924759,265,324103379,198,-331028138
2018-07-21,676,15799133,490,405998308,186,-390199175
2018-07-22,415,-2101304,264,183752385,150,-185853689
2018-07-23,956,-3271482,576,715038270,380,-718309752
2018-07-24,1310,6345471,750,1200204453,559,-1193858982
2018-07-25,1640,433345,941,1245802659,699,-1245369314
2018-07-26,1168,-3439417,692,869902402,475,-873341819
2018-07-27,1377,3225732,861,1057773416,516,-1054547684
2018-07-28,873,-2373020,492,760499894,380,-762872914
2018-07-29,581,2806332,339,504654730,241,-501848398
2018-07-30,484,210732,306,544019806,178,-543809074
2018-07-31,1182,-13771376,744,1244909985,438,-1258681361
