,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2019-06-01,447,-18169207,304,319517977,142,-337687184
2019-06-02,392,18192916,170,294768368,222,-276575452
2019-06-03,497,-16716518,299,366113096,198,-382829614
2019-06-04,1009,17263747,666,713507999,342,-696244252
2019-06-05,1237,700184,898,850085924,339,-849385740
2019-06-06,746,-721231,544,398536162,202,-399257393
2019-06-07,597,299301,399,283859568,198,-283560267
2019-06-08,416,366178,207,248695802,209,-248329624
2019-06-09,229,-276262,151,140818070,76,-141094332
2019-06-10,654,-18156434,384,470327637,270,-488484071
2019-06-11,329,-19292544,203,230614764,126,-249907308
2019-06-12,392,30336976,277,301316548,114,-270979572
2019-06-13,238,2640641,156,167438991,82,-164798350
2019-06-14,894,-10519275,610,484429652,284,-494948927
2019-06-15,468,17458310,221,470114379,247,-452656069
2019-06-16,1343,-13688347,664,1356341650,679,-1370029997
2019-06-17,781,5435432,363,795651182,418,-790215750
2019-06-18,1039,8813455,604,973408647,433,-964595192
2019-06-19,734,-19788946,453,605174851,281,-624963797
2019-06-20,478,-9693481,220,384637358,258,-394330839
2019-06-21,1423,27609952,696,1365073614,727,-1337463662
2019-06-22,3133,-25861799,1841,2757733001,1292,-2783594800
2019-06-23,2197,27543900,801,1830436445,1396,-1802892545
2019-06-24,2205,-29914572,1145,1837685731,1060,-1867600303
2019-06-25,2602,5982736,1360,2605402026,1242,-2599419290
2019-06-26,5654,-1519663,3071,6164480766,2582,-6166000429
2019-06-27,5284,10149842,3228,3989102570,2056,-3978952728
2019-06-28,1281,12855864,723,1243513869,558,-1230658005
2019-06-29,398,-1553757,236,373939117,162,-375492874
2019-06-30,810,-5080348,520,851217426,290,-856297774
