,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2019-07-01,743,6467028,526,1108773831,216,-1102306803
2019-07-02,694,-2455719,486,915498935,208,-917954654
2019-07-03,1205,-3588531,588,1417565783,617,-1421154314
2019-07-04,1180,-11053149,618,1551516238,562,-1562569387
2019-07-05,1060,17139024,610,1407713626,450,-1390574602
2019-07-06,676,-17752078,357,1012389831,319,-1030141909
2019-07-07,463,-4098716,261,602514736,202,-606613452
2019-07-08,475,23051033,275,911372698,200,-888321665
2019-07-09,1425,-29435082,796,2256193080,629,-2285628162
2019-07-10,1476,29485278,806,2022544621,670,-1993059343
2019-07-11,1140,-1782793,634,1382400758,506,-1384183551
2019-07-12,239,-11570,123,316225848,116,-316237418
2019-07-13,901,-24672249,532,1081419473,369,-1106091722
2019-07-14,779,23657732,467,967526317,312,-943868585
2019-07-15,0,0,0,0,0,0
2019-07-16,815,-16835441,540,1116130180,275,-1132965621
2019-07-17,1446,15596481,932,2270719784,514,-2255123303
2019-07-18,2283,648004,1740,2032222204,543,-2031574200
2019-07-19,1639,-992270,923,2024416875,715,-2025409145
2019-07-20,0,0,0,0,0,0
2019-07-21,0,0,0,0,0,0
2019-07-22,251,-2053385,36,92862092,215,-94915477
2019-07-23,197,1716958,125,244916447,72,-243199489
2019-07-24,8,-5812391,4,11075760,4,-16888151
2019-07-25,192,-2887387,96,201660544,96,-204547931
2019-07-26,81,-2272362,41,69831222,40,-72103584
2019-07-27,150,-311848,108,174108033,42,-174419881
2019-07-28,77,11300694,49,101427150,28,-90126456
2019-07-29,56,375049,32,74969506,24,-74594457
2019-07-30,0,0,0,0,0,0
2019-07-31,0,0,0,0,0,0
