,daily transaction,daily income,daily Yield transaction,daily Yield,daily loss transaction,daily loss
2019-05-01,0,0,0,0,0,0
2019-05-02,0,0,0,0,0,0
2019-05-03,0,0,0,0,0,0
2019-05-04,0,0,0,0,0,0
2019-05-05,0,0,0,0,0,0
2019-05-06,0,0,0,0,0,0
2019-05-07,0,0,0,0,0,0
2019-05-08,0,0,0,0,0,0
2019-05-09,0,0,0,0,0,0
2019-05-10,0,0,0,0,0,0
2019-05-11,0,0,0,0,0,0
2019-05-12,0,0,0,0,0,0
2019-05-13,0,0,0,0,0,0
2019-05-14,0,0,0,0,0,0
2019-05-15,0,0,0,0,0,0
2019-05-16,1677,-28298696,882,1463599408,795,-1491898104
2019-05-17,2954,8980945,1795,2664676309,1156,-2655695364
2019-05-18,1720,4329182,963,1747665433,755,-1743336251
2019-05-19,924,11786617,536,1048883668,387,-1037097051
2019-05-20,1249,1701085,776,1439256809,469,-1437555724
2019-05-21,1065,178552,633,968504619,431,-968326067
2019-05-22,712,-2784014,384,539605210,328,-542389224
2019-05-23,622,2561143,326,541648168,296,-539087025
2019-05-24,327,-1431054,223,320160363,104,-321591417
2019-05-25,546,1992816,351,471263057,194,-469270241
2019-05-26,538,-28786577,349,307292576,187,-336079153
2019-05-27,1660,21574720,907,1709257916,753,-1687683196
2019-05-28,781,-5882058,445,650819360,336,-656701418
2019-05-29,734,15174996,477,605257538,256,-590082542
2019-05-30,576,-6327666,344,610111143,232,-616438809
2019-05-31,1537,6958409,940,1328782115,597,-1321823706
