timestamp_year_month_day,amount
2018-07-01,-14585370
2018-07-02,15168016
2018-07-03,167826
2018-07-04,-18993006
2018-07-05,19456952
2018-07-06,-21771154
2018-07-07,6844664
2018-07-08,15315231
2018-07-09,-12685945
2018-07-10,-9070107
2018-07-11,18322011
2018-07-12,-16529390
2018-07-13,108019
2018-07-14,-2453009
2018-07-15,4226376
2018-07-16,14644517
2018-07-17,2328518
