timestamp_year_month_day,point_amount_cumsum
2018-06-01,-129920.0
2018-06-02,25622.0
2018-06-03,245492.0
2018-06-04,-137958.0
2018-06-05,77060.0
2018-06-06,596013.0
2018-06-07,306809.0
2018-06-08,101945.0
2018-06-09,254221.0
2018-06-10,-239243.0
2018-06-11,-196706.0
2018-06-12,303336.0
2018-06-13,39922.0
2018-06-14,512364.0
2018-06-15,661295.0
2018-06-16,75841.0
2018-06-17,588591.0
2018-06-18,-7084.0
2018-06-19,76805.0
2018-06-20,-89624.0
2018-06-21,322135.0
2018-06-22,-491323.0
2018-06-23,31449.0
2018-06-24,106854.0
2018-06-25,82444.0
2018-06-26,197792.0
2018-06-27,-115889.0
2018-06-28,43101.0
2018-06-29,-22237.0
2018-06-30,1294735.0
