timestamp_year_month_day,amount
2018-06-01,-129920
2018-06-02,25622
2018-06-03,245492
2018-06-04,-2210226
2018-06-05,-9120806
2018-06-06,-12366947
2018-06-07,-518206
2018-06-08,25160054
2018-06-09,254221
2018-06-10,-12636841
2018-06-11,-3650986
2018-06-12,6501387
2018-06-13,8520389
2018-06-14,-12375358
2018-06-15,-7885079
2018-06-16,17410635
2018-06-17,5861253
2018-06-18,-18665536
2018-06-19,11099457
2018-06-20,-39860
2018-06-21,7908171
2018-06-22,-7857717
2018-06-23,7397843
2018-06-24,106854
2018-06-25,82444
2018-06-26,197792
2018-06-27,-9017302
2018-06-28,8944514
2018-06-29,-22237
2018-06-30,1294735
