timestamp,endingPrice,percentage,profit,Bithumb_Trans__Vol,profit(0to0)
2018.4.15,8657000,2.592478831,-9266205,84405750000,1127753
2018.4.14,8331000,2.354212814,3804128,86309160000,488367
2018.4.13,8372000,2.935662469,-9821100,1.57E+11,741251
2018.4.12,8131000,2.530235955,-914872,2.14E+11,1282502
2018.4.11,7422000,3.401079827,-5561908,72290280000,194524
2018.4.10,7404000,5.784110776,12016914,58195440000,424393
2018.4.9,7443000,4.947097824,-3960911,94600530000,-106319
2018.4.8,7608000,4.41723545,-11691662,53103840000,370738
2018.4.7,7524000,2.539615154,1339931,72757080000,876096
2018.4.6,7265000,3.000373125,10139368,66620050000,701784
2018.4.5,7395000,2.839950895,-1360634,1.35E+11,1406985
2018.4.4,7500000,3.691178626,-6326630,1.08E+11,914424
2018.4.3,8095000,2.100187121,23933671,1.24E+11,1246040
2018.4.2,7704000,2.206263954,-21457689,87132240000,1295437
2018.4.1,7469000,1.649504439,1386872,95752580000,83842
2018.3.31,7682000,2.696141572,19011544,1.00E+11,1085527
2018.3.30,7594000,2.046265216,-16682822,1.64E+11,2461633
2018.3.29,7884000,1.51633879,381138,1.29E+11,181079
2018.3.28,8720000,5.616227028,17142294,71068000000,760582
2018.3.27,8638000,3.792615806,-15649586,1.06E+11,948414
2018.3.26,9045000,3.012340779,-230397,1.12E+11,-371580
2018.3.25,9466000,5.313671729,15396091,77337220000,645748
2018.3.24,9560000,4.717012889,-13545062,1.04E+11,1211027
2018.3.23,9855000,3.168943604,857685,1.32E+11,851939
2018.3.22,9765000,5.608953388,5255741,1.26E+11,666984
2018.3.21,9916000,4.321390529,-2746455,1.70E+11,2072710
2018.3.20,9828000,3.139901703,2737783,2.08E+11,2590132
2018.3.19,9707000,2.237611923,7314411,2.36E+11,4881213
2018.3.18,8985000,1.801428237,19884617,1.83E+11,454804
2018.3.17,8653000,2.357954656,-19028555,97692370000,575679
2018.3.16,9080000,1.679415309,-492516,1.44E+11,1766261
2018.3.15,9091000,1.903210857,1668246,2.28E+11,2274415
2018.3.14,9141000,1.475216813,579270,2.02E+11,-26899
2018.3.13,10139000,2.748897737,534832,1.92E+11,942132
2018.3.12,10206000,2.106257588,1339762,2.06E+11,1908150
2018.3.11,10493000,1.692781447,1168065,1.95E+11,207335
2018.3.10,9867000,2.723763967,1472564,1.54E+11,1515430
2018.3.9,10370000,1.375948109,14113709,2.94E+11,1384204
2018.3.8,10470000,1.950362045,-11229029,2.12E+11,1442652
2018.3.7,11146000,0,0,2.66E+11,0
2018.3.6,11992000,0,0,1.88E+11,0
2018.3.5,12734000,1.352181497,-2474659,1.71E+11,62689
