,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,26,2.0698795180722893,1,13,2.1179723502304157,1,26,2.347165400350672
hour,1,62,10.16568047337278,1,78,12.766666666666667,1,139,21.70810810810811
date,3,692,171.8,6,870,229.8,9,1562,401.6
