,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,35,2.371044776119404,1,39,2.574151436031332,1,39,3.3374578177727785
hour,6,161,51.577922077922075,3,186,64.01948051948052,9,347,115.59740259740259
date,332,1753,1134.7142857142858,444,2043,1408.4285714285713,776,3796,2543.1428571428573
