,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,7,1.4663212435233162,1,13,1.6666666666666667,1,13,1.65
hour,1,11,3.0760869565217392,1,16,4.183673469387755,1,25,6.537735849056604
date,32,65,47.166666666666664,45,109,68.33333333333333,77,168,115.5
