,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,32,2.173474178403756,1,50,2.430634146341464,1,50,2.742265437555247
hour,1,103,19.57505285412262,1,111,26.225263157894734,1,195,45.526205450733755
date,67,1115,420.8636363636364,91,1464,566.2272727272727,173,2518,987.0909090909091
