,timestamp,amount_cumsum
1,2018-02-14 00:12:12,-5593
3,2018-02-14 00:15:41,-4438
6,2018-02-14 00:20:44,28864
14,2018-02-14 00:28:28,519
19,2018-02-14 00:33:24,-16492
28,2018-02-14 00:54:17,21216
30,2018-02-14 00:54:58,20493
35,2018-02-14 01:00:07,12110
50,2018-02-14 01:17:12,32806
52,2018-02-14 01:19:26,33141
57,2018-02-14 01:35:26,38965
60,2018-02-14 01:37:03,36201
73,2018-02-14 01:52:52,19447
80,2018-02-14 02:06:07,17139
82,2018-02-14 02:09:42,17563
89,2018-02-14 02:20:03,32264
94,2018-02-14 02:43:06,64069
364,2018-02-14 11:03:35,351573
367,2018-02-14 11:08:11,351300
369,2018-02-14 11:12:08,351254
794,2018-02-14 21:35:22,1152073
810,2018-02-14 22:00:25,1225869
822,2018-02-14 22:14:51,1342271
825,2018-02-14 22:16:19,1342591
828,2018-02-14 22:21:30,1405770
831,2018-02-14 22:22:54,1396316
834,2018-02-14 22:26:13,1394939
838,2018-02-14 22:29:26,1391033
840,2018-02-14 22:31:19,1412033
1442,2018-02-15 11:05:46,2002106
1711,2018-02-15 13:42:08,2568569
1716,2018-02-15 13:44:15,2574689
1723,2018-02-15 13:47:00,2585950
1730,2018-02-15 13:50:40,2617540
1739,2018-02-15 13:51:57,2627263
1741,2018-02-15 13:52:54,2627369
1746,2018-02-15 13:56:29,2655463
2248,2018-02-15 20:34:22,2899643
2252,2018-02-15 20:42:38,2865946
2257,2018-02-15 20:48:30,2861661
2296,2018-02-15 21:26:31,2925680
2312,2018-02-15 21:40:09,2978962
2315,2018-02-15 21:41:54,2977176
2318,2018-02-15 21:44:36,2982628
3014,2018-02-16 10:16:05,4015638
3021,2018-02-16 10:17:54,4031394
3023,2018-02-16 10:19:00,4031401
3027,2018-02-16 10:21:08,4020838
3285,2018-02-16 14:07:54,4232144
3298,2018-02-16 14:41:10,4337325
3309,2018-02-16 15:14:19,4326410
3338,2018-02-16 15:41:03,4210342
3349,2018-02-16 15:48:37,4170629
3403,2018-02-16 17:00:38,4148589
3412,2018-02-16 17:20:54,4325518
3489,2018-02-16 19:17:48,4293640
3500,2018-02-16 19:45:47,4275664
3508,2018-02-16 20:01:37,4208771
3513,2018-02-16 20:18:34,4220771
3519,2018-02-16 20:24:13,4176975
3533,2018-02-16 20:34:43,4227901
3536,2018-02-16 20:40:57,4220396
3539,2018-02-16 20:47:36,4250172
3593,2018-02-16 23:10:25,4249079
3600,2018-02-16 23:20:21,4267129
3605,2018-02-16 23:23:00,4270581
3651,2018-02-17 00:48:52,4441576
3661,2018-02-17 01:28:51,4460698
3663,2018-02-17 01:47:13,4460751
3669,2018-02-17 02:05:28,4457616
3685,2018-02-17 02:42:16,4434491
3689,2018-02-17 03:05:07,4409431
3708,2018-02-17 04:57:29,4461258
3713,2018-02-17 06:00:37,4512243
3771,2018-02-17 08:56:05,4613952
3786,2018-02-17 09:05:27,4593650
3797,2018-02-17 09:33:50,4633883
3800,2018-02-17 09:36:07,4635267
3802,2018-02-17 09:48:29,4635282
3807,2018-02-17 10:10:43,4683728
3815,2018-02-17 10:39:57,4771010
4163,2018-02-17 21:11:26,6035963
4632,2018-02-18 10:31:35,6378632
4634,2018-02-18 10:31:54,6378632
4638,2018-02-18 10:38:33,6378030
4732,2018-02-18 12:03:43,6451809
4739,2018-02-18 12:16:55,6423652
4742,2018-02-18 12:19:59,6423451
