B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
1,20,1.6979027219991076,1,14,1.8750217883911453,1,21,2.1767006399620765
1,76,21.316526610644253,1,118,30.047486033519554,1,193,51.30446927374302
263,919,507.3333333333333,357,1293,717.1333333333333,688,2212,1224.4666666666667
