,timestamp,amount_cumsum
8,2018-03-01 00:12:48,10680
11,2018-03-01 00:23:31,22094
14,2018-03-01 00:28:20,21961
18,2018-03-01 00:40:55,28120
20,2018-03-01 00:41:51,28078
44,2018-03-01 00:57:50,6423
47,2018-03-01 01:01:03,10361
57,2018-03-01 01:18:33,-962
64,2018-03-01 01:24:39,-5790
68,2018-03-01 01:30:22,33775
73,2018-03-01 01:35:48,28408
77,2018-03-01 01:37:08,28402
304,2018-03-01 07:30:42,214557
306,2018-03-01 07:36:25,216571
308,2018-03-01 07:36:49,216594
403,2018-03-01 09:25:53,199099
660,2018-03-01 14:38:32,407368
731,2018-03-01 16:24:24,577225
752,2018-03-01 17:01:45,592239
757,2018-03-01 17:06:02,590244
763,2018-03-01 17:12:28,604460
765,2018-03-01 17:14:58,604836
771,2018-03-01 17:21:44,601411
1144,2018-03-02 08:08:54,945307
1156,2018-03-02 08:15:32,998640
1212,2018-03-02 09:15:38,1065167
1215,2018-03-02 09:19:26,1065452
1227,2018-03-02 09:26:43,1099471
1235,2018-03-02 09:28:34,1097606
1238,2018-03-02 09:31:46,1099307
1245,2018-03-02 09:37:13,1109753
1253,2018-03-02 09:40:27,1116212
1265,2018-03-02 09:45:12,1124509
1267,2018-03-02 09:48:17,1124460
1270,2018-03-02 09:53:09,1120814
1281,2018-03-02 09:56:44,1136599
1513,2018-03-02 12:02:08,1261249
1516,2018-03-02 12:03:19,1261664
1518,2018-03-02 12:07:12,1261833
1521,2018-03-02 12:08:43,1262233
1529,2018-03-02 12:15:48,1338989
1593,2018-03-02 13:27:40,1340907
1605,2018-03-02 13:38:26,1407132
1606,2018-03-02 13:45:37,1407066
1612,2018-03-02 13:46:08,1407133
1614,2018-03-02 13:48:54,1407083
1617,2018-03-02 13:53:06,1419235
1623,2018-03-02 13:53:51,1422748
1625,2018-03-02 13:56:34,1420902
1628,2018-03-02 13:59:25,1433117
1637,2018-03-02 14:02:49,1383321
1647,2018-03-02 14:06:35,1387676
1655,2018-03-02 14:14:38,1357372
1658,2018-03-02 14:16:41,1357718
1670,2018-03-02 14:24:37,1409478
1682,2018-03-02 14:39:08,1451492
1688,2018-03-02 14:43:09,1463875
1690,2018-03-02 14:55:54,1464134
1694,2018-03-02 15:04:01,1501672
2112,2018-03-02 21:32:56,1766451
2124,2018-03-02 21:42:28,1769405
2216,2018-03-02 23:19:57,1782907
2708,2018-03-03 10:11:29,2014322
2789,2018-03-03 11:12:41,2083944
2801,2018-03-03 11:17:51,2104615
2893,2018-03-03 12:22:59,2221982
2906,2018-03-03 12:32:23,2194499
2914,2018-03-03 12:35:01,2192419
2981,2018-03-03 13:24:22,2342555
3222,2018-03-03 16:51:25,2606083
3226,2018-03-03 16:54:16,2603908
3243,2018-03-03 17:03:09,2568500
3245,2018-03-03 17:03:45,2568762
3252,2018-03-03 17:07:14,2569981
3254,2018-03-03 17:12:20,2572361
3267,2018-03-03 17:20:22,2592482
3291,2018-03-03 17:29:41,2556984
3293,2018-03-03 17:30:29,2556984
3723,2018-03-04 00:48:13,3049194
3725,2018-03-04 00:53:20,3049194
3733,2018-03-04 00:55:47,3047294
3743,2018-03-04 00:59:03,3011977
3758,2018-03-04 01:05:20,3011477
3760,2018-03-04 01:09:15,3013027
3763,2018-03-04 01:10:48,3014478
3782,2018-03-04 01:45:05,3015966
3790,2018-03-04 02:04:39,3033860
3799,2018-03-04 02:16:48,2996404
3838,2018-03-04 02:49:48,3094320
3843,2018-03-04 02:56:45,3091043
3845,2018-03-04 03:01:05,3090996
3854,2018-03-04 03:20:02,3120370
3860,2018-03-04 03:34:11,3116188
3867,2018-03-04 03:45:07,3120225
4395,2018-03-04 14:23:20,3228857
4398,2018-03-04 14:33:19,3228077
4401,2018-03-04 14:38:22,3226126
4405,2018-03-04 14:42:22,3222391
4559,2018-03-04 17:09:10,3324422
4575,2018-03-04 17:14:29,3313884
4580,2018-03-04 17:17:03,3313914
4584,2018-03-04 17:19:13,3312036
4588,2018-03-04 17:21:17,3321904
4597,2018-03-04 17:25:35,3366258
4599,2018-03-04 17:27:43,3366268
4613,2018-03-04 17:42:45,3363109
4619,2018-03-04 17:44:21,3361848
4626,2018-03-04 17:48:42,3384009
4673,2018-03-04 18:34:02,3408602
4675,2018-03-04 18:44:12,3407912
4677,2018-03-04 18:51:47,3410324
4679,2018-03-04 19:00:08,3411446
4688,2018-03-04 19:05:58,3443535
4707,2018-03-04 19:23:14,3428650
4721,2018-03-04 19:35:53,3376543
4740,2018-03-04 19:45:17,3358080
4746,2018-03-04 19:54:18,3365144
4752,2018-03-04 20:00:32,3359602
4765,2018-03-04 20:06:24,3364125
4774,2018-03-04 20:23:41,3423779
4779,2018-03-04 20:25:41,3414815
4783,2018-03-04 20:28:22,3417658
4791,2018-03-04 20:34:46,3443651
4852,2018-03-04 21:36:26,3579840
4865,2018-03-04 21:47:29,3613249
4873,2018-03-04 21:56:03,3622079
4876,2018-03-04 21:59:01,3621932
4878,2018-03-04 22:00:41,3621335
4939,2018-03-04 23:19:18,3500257
4955,2018-03-05 00:00:01,3495126
5077,2018-03-05 02:40:31,3360973
5079,2018-03-05 02:41:04,3361174
5257,2018-03-05 11:40:13,3386887
5259,2018-03-05 11:58:46,3387762
5261,2018-03-05 12:01:38,3387655
5265,2018-03-05 12:03:54,3388362
