,timestamp,quantity,price,fee,amount,side,sign_quantity,sign_quantity_cumsum(coin),amount_cumsum,compare,point_amount_cumsum
1,2018-02-14 00:12:12,0.799,9854000,0.0,7873346,1,0.799,0.0,-5593,0.0,-5593.0
3,2018-02-14 00:15:41,0.105,9860000,0.0,1035300,1,0.105,0.0,-4438,-5593.0,1155.0
6,2018-02-14 00:20:44,0.3015,9882000,0.0,2979423,1,0.3015,-0.0,28864,-4438.0,33302.0
14,2018-02-14 00:28:28,0.2978,9825000,0.0,2925885,1,0.2978,-0.0,519,28864.0,-28345.0
19,2018-02-14 00:33:24,0.4805,9804000,0.0,4710822,1,0.4805,-0.0,-16492,519.0,-17011.0
28,2018-02-14 00:54:17,0.0221,9821000,0.0,217044,1,0.0221,-0.0,21216,-16492.0,37708.0
30,2018-02-14 00:54:58,0.0903,9824000,0.0,887107,1,0.0903,-0.0,20493,21216.0,-723.0
35,2018-02-14 01:00:07,0.1333,9793000,0.0,1305407,1,0.1333,-0.0,12110,20493.0,-8383.0
50,2018-02-14 01:17:12,0.2558,9826000,0.0,2513491,1,0.2558,-0.0,32806,12110.0,20696.0
52,2018-02-14 01:19:26,0.0837,9830000,0.0,822771,1,0.0837,-0.0,33141,32806.0,335.0
57,2018-02-14 01:35:26,0.0294,9850000,0.0,289590,1,0.0294,-0.0,38965,33141.0,5824.0
60,2018-02-14 01:37:03,0.4072,9845000,0.0,4008884,1,0.4072,-0.0,36201,38965.0,-2764.0
73,2018-02-14 01:52:52,0.3826,9802000,0.0,3750245,1,0.3826,-0.0,19447,36201.0,-16754.0
80,2018-02-14 02:06:07,0.8391,9809000,0.0,8230732,1,0.8391,-0.0,17139,19447.0,-2308.0
82,2018-02-14 02:09:42,0.1414,9816000,0.0,1387982,1,0.1414,-0.0,17563,17139.0,424.0
89,2018-02-14 02:20:03,0.0547,9859000,0.0,539287,1,0.0547,-0.0,32264,17563.0,14701.0
94,2018-02-14 02:43:06,1.2771,9850000,0.0,12579435,1,1.2771,-0.0,64069,32264.0,31805.0
364,2018-02-14 11:03:35,0.3105,10055000,0.0,3122078,1,0.3105,-4.9e-06,351573,64069.0,287504.0
367,2018-02-14 11:08:11,0.039,10050000,0.0,391950,1,0.039,-4.9e-06,351300,351573.0,-273.0
369,2018-02-14 11:12:08,0.0116,10046000,0.0,116534,1,0.0116,-4.9e-06,351254,351300.0,-46.0
794,2018-02-14 21:35:22,1.4317,10362000,0.0,14835275,1,1.4317,-5.66e-06,1152073,351254.0,800819.0
810,2018-02-14 22:00:25,1.1785,10358000,0.0,12206903,1,1.1785,-5.66e-06,1225869,1152073.0,73796.0
822,2018-02-14 22:14:51,0.8499,10440000,0.0,8872956,1,0.8499,-5.66e-06,1342271,1225869.0,116402.0
825,2018-02-14 22:16:19,0.0736,10416000,0.0,766618,1,0.0736,-5.66e-06,1342591,1342271.0,320.0
