B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
1,28,1.7101293103448276,1,26,2.1219006120966903,1,29,2.231354334948842
1,61,18.58857979502196,1,96,29.94582723279649,4,131,48.53440702781845
244,636,437.7931034482759,350,1179,705.2758620689655,613,1782,1143.0689655172414
