B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
1,2,1.0072992700729928,1,2,1.0049140049140048,1,3,1.0564826700898589
1,14,3.312,1,12,3.3252032520325203,1,26,6.0962962962962965
1,108,37.63636363636363,1,109,45.44444444444444,1,217,68.58333333333333
