,timestamp,quantity,price,fee,amount,side,sign_quantity,sign_quantity_cumsum(coin),amount_cumsum,compare,point_amount_cumsum
1,2018-07-01 02:05:54,0.075,7112000,0,533400,1,0.075,0.0,225,0.0,225.0
4,2018-07-01 02:46:33,0.0775,7094000,0,549785,1,0.0775,0.0,225,225.0,0.0
9,2018-07-01 05:40:53,0.1181,7125000,0,841463,1,0.1181,0.0,3665,225.0,3440.0
12,2018-07-01 05:57:11,0.6369,7121000,0,4535365,1,0.6369,0.0,8123,3665.0,4458.0
19,2018-07-01 09:12:09,0.6751,7180000,0,4847218,1,0.6751,0.0,23184,8123.0,15061.0
21,2018-07-01 09:22:00,0.012,7161000,0,85932,1,0.012,0.0,23064,23184.0,-120.0
26,2018-07-01 09:39:19,0.2,7121000,0,1424200,1,0.2,0.0,23601,23064.0,537.0
33,2018-07-01 09:49:19,0.6559,7133000,0,4678535,1,0.6559,0.0,27132,23601.0,3531.0
399,2018-07-02 17:08:58,0.1212,7068000,0,856642,1,0.1212,9e-07,83572,27132.0,56440.0
402,2018-07-02 17:43:13,0.0435,7058000,0,307023,1,0.0435,9e-07,83901,83572.0,329.0
418,2018-07-02 20:17:03,0.6243,7062000,0,4408807,1,0.6243,9e-07,116218,83901.0,32317.0
424,2018-07-02 22:05:21,0.1777,7064000,0,1255273,1,0.1777,9e-07,119224,116218.0,3006.0
429,2018-07-02 22:24:33,1.5212,7099000,0,10798999,1,1.5212,9e-07,147224,119224.0,28000.0
438,2018-07-02 22:30:56,2.334,7270000,0,16968180,1,2.334,9e-07,585740,147224.0,438516.0
440,2018-07-02 22:34:05,0.0062,7219000,0,44758,1,0.0062,9e-07,585672,585740.0,-68.0
444,2018-07-02 22:35:24,0.4119,7248000,0,2985451,1,0.4119,9e-07,596071,585672.0,10399.0
587,2018-07-03 01:36:58,0.8672,7212000,0,6254246,1,0.8672,4.4e-06,586512,596071.0,-9559.0
594,2018-07-03 01:52:24,1.3412,7239000,0,9708947,1,1.3412,4.4e-06,604106,586512.0,17594.0
597,2018-07-03 01:59:36,0.2709,7218000,0,1955356,1,0.2709,4.4e-06,600854,604106.0,-3252.0
620,2018-07-03 03:12:56,1.2891,7299000,0,9409141,1,1.2891,4.4e-06,720827,600854.0,119973.0
635,2018-07-03 03:28:34,0.7458,7305000,0,5448069,1,0.7458,4.4e-06,720386,720827.0,-441.0
640,2018-07-03 03:31:45,0.1376,7307000,0,1005443,1,0.1376,4.4e-06,719203,720386.0,-1183.0
642,2018-07-03 03:35:54,0.1277,7315000,0,934126,1,0.1277,4.4e-06,720608,719203.0,1405.0
654,2018-07-03 04:09:06,0.8158,7317000,0,5969209,1,0.8158,4.4e-06,723841,720608.0,3233.0
666,2018-07-03 04:19:51,0.0762,7333000,0,558775,1,0.0762,4.4e-06,738640,723841.0,14799.0
704,2018-07-03 04:43:21,0.0473,7300000,0,345290,1,0.0473,4.4e-06,713985,738640.0,-24655.0
706,2018-07-03 04:52:52,0.435,7298000,0,3174630,1,0.435,4.4e-06,713550,713985.0,-435.0
710,2018-07-03 05:19:40,0.0623,7291000,0,454229,1,0.0623,4.4e-06,713880,713550.0,330.0
762,2018-07-03 07:04:48,1.3092,7260000,0,9504792,1,1.3092,4.4e-06,597967,713880.0,-115913.0
775,2018-07-03 07:06:23,0.8068,7255000,0,5853334,1,0.8068,4.4e-06,545217,597967.0,-52750.0
781,2018-07-03 07:09:28,0.284,7255000,0,2060420,1,0.284,4.4e-06,541909,545217.0,-3308.0
787,2018-07-03 07:11:30,0.0717,7247000,0,519610,1,0.0717,4.4e-06,535254,541909.0,-6655.0
822,2018-07-03 07:28:42,0.9789,7239000,0,7086257,1,0.9789,4.4e-06,447395,535254.0,-87859.0
824,2018-07-03 07:31:13,0.1308,7242000,0,947254,1,0.1308,4.4e-06,447265,447395.0,-130.0
826,2018-07-03 07:32:16,0.1234,7246000,0,894156,1,0.1234,4.4e-06,447018,447265.0,-247.0
828,2018-07-03 07:37:00,0.0074,7246000,0,53620,1,0.0074,4.4e-06,446958,447018.0,-60.0
832,2018-07-03 07:39:05,0.1536,7242000,0,1112371,1,0.1536,4.4e-06,445003,446958.0,-1955.0
843,2018-07-03 07:41:22,1.8634,7237000,0,13485426,1,1.8634,4.4e-06,429759,445003.0,-15244.0
859,2018-07-03 07:46:52,1.149,7235000,0,8313015,1,1.149,4.4e-06,404480,429759.0,-25279.0
863,2018-07-03 07:48:31,0.1464,7238000,0,1059643,1,0.1464,4.4e-06,404132,404480.0,-348.0
866,2018-07-03 07:50:03,0.2913,7232000,0,2106682,1,0.2913,4.4e-06,402039,404132.0,-2093.0
869,2018-07-03 07:52:23,0.2438,7230000,0,1762674,1,0.2438,4.4e-06,397207,402039.0,-4832.0
880,2018-07-03 07:58:31,0.4074,7233000,0,2946724,1,0.4074,4.4e-06,388147,397207.0,-9060.0
882,2018-07-03 08:02:39,0.2384,7228000,0,1723155,1,0.2384,4.4e-06,384094,388147.0,-4053.0
886,2018-07-03 08:09:23,0.1268,7231000,0,916891,1,0.1268,4.4e-06,383537,384094.0,-557.0
888,2018-07-03 08:23:11,0.02,7224000,0,144480,1,0.02,4.4e-06,383437,383537.0,-100.0
907,2018-07-03 08:32:54,0.0652,7237000,0,471852,1,0.0652,4.4e-06,398880,383437.0,15443.0
913,2018-07-03 08:34:19,0.0828,7237000,0,599224,1,0.0828,8e-06,396124,398880.0,-2756.0
1816,2018-07-04 19:45:56,0.5297,7198000,0,3812781,1,0.5297,5.2e-06,563503,396124.0,167379.0
1818,2018-07-04 19:52:17,0.0538,7188000,0,386714,1,0.0538,5.2e-06,563825,563503.0,322.0
