,timestamp,quantity,price,fee,amount,side,sign_quantity,sign_quantity_cumsum(coin),amount_cumsum,compare,point_amount_cumsum
8,2018-03-01 00:12:48,0.1088,11936000,0,1298637,1,0.1088,0.0,10680,0.0,10680.0
11,2018-03-01 00:23:31,1.8867,11958000,0,22561159,1,1.8867,0.0,22094,10680.0,11414.0
14,2018-03-01 00:28:20,0.0493,11958000,0,589529,1,0.0493,0.0,21961,22094.0,-133.0
18,2018-03-01 00:40:55,0.2514,11919000,0,2996437,1,0.2514,0.0,28120,21961.0,6159.0
20,2018-03-01 00:41:51,0.0416,11910000,0,495456,1,0.0416,0.0,28078,28120.0,-42.0
44,2018-03-01 00:57:50,0.4085,11891000,0,4857474,1,0.4085,9e-06,6423,28078.0,-21655.0
47,2018-03-01 01:01:03,0.3241,11901000,0,3857114,1,0.3241,9e-06,10361,6423.0,3938.0
57,2018-03-01 01:18:33,0.645,11890000,0,7669050,1,0.645,9e-06,-962,10361.0,-11323.0
64,2018-03-01 01:24:39,0.0349,11884000,0,414752,1,0.0349,9e-06,-5790,-962.0,-4828.0
68,2018-03-01 01:30:22,0.17300000000000001,11896000,0,2058008,1,0.17300000000000001,9e-06,33775,-5790.0,39565.0
73,2018-03-01 01:35:48,1.9,11895000,0,22600500,1,1.9,9e-06,28408,33775.0,-5367.0
77,2018-03-01 01:37:08,0.0047,11897000,0,55916,1,0.0047,9e-06,28402,28408.0,-6.0
304,2018-03-01 07:30:42,0.1699,11975000,0,2034553,1,0.1699,-2.8e-06,214557,28402.0,186155.0
306,2018-03-01 07:36:25,0.0959,11942000,0,1145238,1,0.0959,-2.8e-06,216571,214557.0,2014.0
308,2018-03-01 07:36:49,0.0231,11927000,0,275514,1,0.0231,-2.8e-06,216594,216571.0,23.0
403,2018-03-01 09:25:53,0.1845,11828000,0,2182266,1,0.1845,2.26e-06,199099,216594.0,-17495.0
660,2018-03-01 14:38:32,0.0129,11770000,0,151833,1,0.0129,3e-07,407368,199099.0,208269.0
731,2018-03-01 16:24:24,0.3908,11800000,0,4611440,1,0.3908,-4.9e-06,577225,407368.0,169857.0
752,2018-03-01 17:01:45,0.0054,11863000,0,64060,1,0.0054,-3.1e-06,592239,577225.0,15014.0
757,2018-03-01 17:06:02,0.31151141,11907000,0,3709166,1,0.31151141,-3.1e-06,590244,592239.0,-1995.0
763,2018-03-01 17:12:28,0.7755,11892000,0,9222246,1,0.7755,-3.1e-06,604460,590244.0,14216.0
765,2018-03-01 17:14:58,0.0342,11906000,0,407185,1,0.0342,-3.1e-06,604836,604460.0,376.0
771,2018-03-01 17:21:44,0.5042,11908000,0,6004014,1,0.5042,-3.1e-06,601411,604836.0,-3425.0
