B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
1,40,1.8620245003223728,1,24,2.1346128565794658,1,40,2.3081395348837206
1,117,16.385815602836875,1,121,22.93502824858757,2,208,39.196050775740474
202,745,385.06666666666666,336,931,541.2666666666667,538,1600,926.3333333333334
