,timestamp,quantity,price,fee,amount,side,sign_quantity,sign_quantity_cumsum(coin),amount_cumsum,compare,point_amount_cumsum
6,2018-05-01 01:08:09,0.1672,10159000,0,1698585,1,0.1672,-0.0,-2818,0.0,-2818.0
30,2018-05-01 02:01:00,0.4148,10158000,0,4213538,1,0.4148,0.0,-8000,-2818.0,-5182.0
32,2018-05-01 02:30:41,0.006,10183000,0,61098,1,0.006,0.0,-8042,-8000.0,-42.0
37,2018-05-01 03:28:58,0.2518,10191000,0,2566094,1,0.2518,0.0,-2977,-8042.0,5065.0
219,2018-05-01 11:26:36,0.1158,9862000,0,1142020,1,0.1158,9e-07,-103149,-2977.0,-100172.0
370,2018-05-01 18:23:00,1.2648,9947000,0,12580966,1,1.2648,-5e-06,82776,-103149.0,185925.0
372,2018-05-01 18:23:11,0.0032,9947000,0,31830,1,0.0032,-5e-06,82824,82776.0,48.0
374,2018-05-01 18:25:28,0.0032,9988000,0,31962,1,0.0032,-5e-06,82920,82824.0,96.0
376,2018-05-01 18:27:20,0.001,9982000,0,9982,1,0.001,-5e-06,82940,82920.0,20.0
381,2018-05-01 18:43:29,0.1726,10019000,0,1729279,1,0.1726,-5e-06,86008,82940.0,3068.0
386,2018-05-01 19:01:51,0.1218,9989000,0,1216660,1,0.1218,-5e-06,86125,86008.0,117.0
546,2018-05-02 02:02:01,1.0318,9890000,0,10204502,1,1.0318,-9.83e-06,-8475,86125.0,-94600.0
555,2018-05-02 02:41:28,0.4908,9887000,0,4852540,1,0.4908,-9.83e-06,10729,-8475.0,19204.0
558,2018-05-02 02:53:23,0.0568,9898000,0,562206,1,0.0568,-9.83e-06,10615,10729.0,-114.0
980,2018-05-03 08:21:50,0.7857,10028000,0,7879000,1,0.7857,-1.2e-06,121166,10615.0,110551.0
988,2018-05-03 09:11:31,0.1929,10036000,0,1935944,1,0.1929,-1.2e-06,138198,121166.0,17032.0
997,2018-05-03 09:59:49,0.8724,10012000,0,8734469,1,0.8724,-1.2e-06,137868,138198.0,-330.0
1000,2018-05-03 10:21:18,0.184,10037000,0,1846808,1,0.184,-1.2e-06,137032,137868.0,-836.0
1003,2018-05-03 10:33:05,0.2881,10066000,0,2900015,1,0.2881,-1.2e-06,141066,137032.0,4034.0
1007,2018-05-03 10:47:20,0.1783,10090000,0,1799047,1,0.1783,-1.2e-06,140888,141066.0,-178.0
1019,2018-05-03 10:54:11,0.5568,10080000,0,5612544,1,0.5568,-1.2e-06,126431,140888.0,-14457.0
1137,2018-05-03 13:08:12,0.4195,10119000,0,4244921,1,0.4195,-5.07e-06,173695,126431.0,47264.0
1140,2018-05-03 13:09:26,0.1859,10123000,0,1881866,1,0.1859,-5.07e-06,172208,173695.0,-1487.0
1154,2018-05-03 13:18:39,0.0945,10136000,0,957852,1,0.0945,-5.07e-06,186563,172208.0,14355.0
1697,2018-05-04 06:35:19,1.1073,10594000,0,11730736,1,1.1073,-2e-06,737537,186563.0,550974.0
1746,2018-05-04 07:48:13,0.2829,10605000,0,3000155,1,0.2829,2.7e-06,758822,737537.0,21285.0
1747,2018-05-04 07:53:32,8.29e-06,10620000,0,-88,0,-8.29e-06,-5.6e-06,758734,758822.0,-88.0
1749,2018-05-04 07:54:10,0.0414,10630000,0,440082,1,0.0414,-5.6e-06,759148,758734.0,414.0
1764,2018-05-04 08:06:14,0.6345,10701000,0,6789785,1,0.6345,-5.6e-06,819748,759148.0,60600.0
1776,2018-05-04 08:10:16,1.5031,10788000,0,16215443,1,1.5031,-5.6e-06,827034,819748.0,7286.0
1786,2018-05-04 08:17:24,0.5034,10739000,0,5406013,1,0.5034,-5.6e-06,790542,827034.0,-36492.0
1828,2018-05-04 09:15:01,1.1783,10580000,0,12466414,1,1.1783,-3.2e-06,646878,790542.0,-143664.0
2006,2018-05-04 15:15:13,0.2009,10622000,0,2133960,1,0.2009,-4.4e-06,730321,646878.0,83443.0
2009,2018-05-04 15:17:23,0.0185,10609000,0,196267,1,0.0185,-4.4e-06,730284,730321.0,-37.0
2014,2018-05-04 15:20:36,0.0016,10605000,0,16968,1,0.0016,-4.4e-06,729590,730284.0,-694.0
2020,2018-05-04 15:29:30,1.6588,10627000,0,17628068,1,1.6588,-4.4e-06,758955,729590.0,29365.0
2026,2018-05-04 15:31:34,0.0988,10619000,0,1049157,1,0.0988,-4.4e-06,731994,758955.0,-26961.0
2029,2018-05-04 15:34:51,1.1281,10628000,0,11989447,1,1.1281,-4.4e-06,741019,731994.0,9025.0
2033,2018-05-04 15:36:55,0.7565,10635000,0,8045378,1,0.7565,-4.4e-06,737237,741019.0,-3782.0
2037,2018-05-04 15:41:38,0.5481,10647000,0,5835621,1,0.5481,-4.4e-06,741680,737237.0,4443.0
2040,2018-05-04 15:47:44,0.2164,10660000,0,2306824,1,0.2164,-4.4e-06,741499,741680.0,-181.0
2049,2018-05-04 15:50:38,0.3956,10690000,0,4228964,1,0.3956,-4.4e-06,783642,741499.0,42143.0
2335,2018-05-04 21:51:21,0.3883,10645000,0,4133454,1,0.3883,-7.3e-06,962717,783642.0,179075.0
2343,2018-05-04 22:07:01,0.0752,10673000,0,802610,1,0.0752,7.75e-06,1099012,962717.0,136295.0
2574,2018-05-05 04:58:37,0.2256,10595000,0,2390232,1,0.2256,5.6e-06,1248988,1099012.0,149976.0
2577,2018-05-05 05:02:09,0.1874,10637000,0,1993374,1,0.1874,5.6e-06,1252183,1248988.0,3195.0
2582,2018-05-05 05:25:33,2.2432,10622000,0,23827270,1,2.2432,5.6e-06,1242843,1252183.0,-9340.0
2587,2018-05-05 05:32:27,0.0403,10616000,0,427825,1,0.0403,5.6e-06,1242775,1242843.0,-68.0
2686,2018-05-05 11:21:52,0.0401,10720000,0,429872,1,0.0401,-7.57e-06,1324774,1242775.0,81999.0
2691,2018-05-05 11:26:44,0.0458,10739000,0,491846,1,0.0458,-7.57e-06,1333264,1324774.0,8490.0
2698,2018-05-05 11:38:19,2.1347,10700000,0,22841290,1,2.1347,-7.57e-06,1319115,1333264.0,-14149.0
2877,2018-05-05 20:03:28,5.37e-06,10800000,0,-58,0,-5.37e-06,9.95e-06,1335316,1319115.0,16201.0
2899,2018-05-05 21:09:27,0.0544,10748000,0,584691,1,0.0544,9.95e-06,1268770,1335316.0,-66546.0
2937,2018-05-05 22:11:55,0.4219,10872000,0,4586897,1,0.4219,9.3e-06,1400761,1268770.0,131991.0
3082,2018-05-06 04:47:44,0.9442,10789000,0,10186974,1,0.9442,-6.44e-06,1530761,1400761.0,130000.0
3088,2018-05-06 05:19:34,1.9814,10770000,0,21339678,1,1.9814,-6.44e-06,1509266,1530761.0,-21495.0
3476,2018-05-06 17:18:31,0.0109,10681000,0,116423,1,0.0109,3.6e-06,1606594,1509266.0,97328.0
3480,2018-05-06 17:28:12,1.2287,10640000,0,13073368,1,1.2287,3.6e-06,1617387,1606594.0,10793.0
3510,2018-05-06 18:08:42,1.7853,10639000,0,18993807,1,1.7853,3.6e-06,1618126,1617387.0,739.0
3522,2018-05-06 18:25:57,0.9268,10628000,0,9850030,1,0.9268,3.6e-06,1653842,1618126.0,35716.0
3539,2018-05-06 18:52:11,0.6278,10627000,0,6671631,1,0.6278,3.6e-06,1688671,1653842.0,34829.0
3541,2018-05-06 18:58:15,0.002,10630000,0,21260,1,0.002,3.6e-06,1688683,1688671.0,12.0
4501,2018-05-07 18:52:23,0.7718,10335000,0,7976553,1,0.7718,-5.4e-06,2645432,1688683.0,956749.0
4938,2018-05-08 07:34:48,4.0,10376000,0,41504000,1,4.0,2.2e-06,3308477,2645432.0,663045.0
5028,2018-05-08 09:51:53,2.1182,10420000,0,22071644,1,2.1182,-1e-07,3372454,3308477.0,63977.0
5038,2018-05-08 10:08:35,1.2979,10449000,0,13561757,1,1.2979,-1e-07,3440116,3372454.0,67662.0
5049,2018-05-08 10:20:57,0.0507,10476000,0,531133,1,0.0507,-1e-07,3443634,3440116.0,3518.0
5062,2018-05-08 10:29:25,0.8297,10480000,0,8695256,1,0.8297,-1e-07,3452587,3443634.0,8953.0
5064,2018-05-08 10:39:28,0.0053,10446000,0,55364,1,0.0053,-1e-07,3452603,3452587.0,16.0
5085,2018-05-08 11:04:01,1.1879,10435000,0,12395737,1,1.1879,-1e-07,3445405,3452603.0,-7198.0
5092,2018-05-08 11:14:01,0.1565,10441000,0,1634017,1,0.1565,-1e-07,3458882,3445405.0,13477.0
5105,2018-05-08 11:29:30,0.0161,10438000,0,168052,1,0.0161,-1e-07,3483214,3458882.0,24332.0
5112,2018-05-08 11:36:42,0.7144,10421000,0,7444762,1,0.7144,-1e-07,3479493,3483214.0,-3721.0
5114,2018-05-08 11:41:00,0.469,10446000,0,4899174,1,0.469,-1e-07,3493563,3479493.0,14070.0
5116,2018-05-08 11:41:36,0.0297,10440000,0,310068,1,0.0297,-1e-07,3493711,3493563.0,148.0
5153,2018-05-08 12:13:38,0.0001,10400000,0,1040,1,0.0001,-1e-07,3389815,3493711.0,-103896.0
5167,2018-05-08 12:36:58,1.9676,10417000,0,20496489,1,1.9676,-1e-07,3429415,3389815.0,39600.0
5170,2018-05-08 12:58:40,0.3503,10419000,0,3649776,1,0.3503,-1e-07,3433265,3429415.0,3850.0
5495,2018-05-08 18:38:23,1.8886,10339000,0,19526235,1,1.8886,-5.36e-06,3416307,3433265.0,-16958.0
5958,2018-05-09 02:18:39,0.0429,10190000,0,437151,1,0.0429,7.15e-06,3495963,3416307.0,79656.0
5960,2018-05-09 02:23:07,0.0631,10193000,0,643178,1,0.0631,7.15e-06,3495963,3495963.0,0.0
5962,2018-05-09 02:41:02,0.0208,10189000,0,211931,1,0.0208,7.15e-06,3496004,3495963.0,41.0
5964,2018-05-09 02:47:15,0.0011,10197000,0,11217,1,0.0011,7.15e-06,3496013,3496004.0,9.0
5979,2018-05-09 03:16:54,0.2674,10187000,0,2724004,1,0.2674,7.15e-06,3528114,3496013.0,32101.0
5981,2018-05-09 03:20:39,0.2479,10190000,0,2526101,1,0.2479,7.15e-06,3530345,3528114.0,2231.0
5983,2018-05-09 03:29:52,0.0043,10229000,0,43985,1,0.0043,7.15e-06,3530393,3530345.0,48.0
5998,2018-05-09 03:40:02,0.0208,10253000,0,213262,1,0.0208,7.15e-06,3544546,3530393.0,14153.0
6114,2018-05-09 07:38:02,0.3101,10278000,0,3187208,1,0.3101,1e-07,3683214,3544546.0,138668.0
6162,2018-05-09 09:38:09,2.3523,10210000,0,24016983,1,2.3523,7.87e-06,3279217,3683214.0,-403997.0
6248,2018-05-09 11:35:03,0.095,10093000,0,958835,1,0.095,4.35e-06,3273934,3279217.0,-5283.0
6265,2018-05-09 11:44:50,0.4742,10094000,0,4786575,1,0.4742,4.35e-06,3308302,3273934.0,34368.0
6292,2018-05-09 12:06:00,0.01,10000000,0,100000,1,0.01,4.35e-06,3192303,3308302.0,-115999.0
6548,2018-05-09 15:36:21,2.9657,10096000,0,29941707,1,2.9657,3.4e-06,3807968,3192303.0,615665.0
6733,2018-05-09 18:28:05,0.6622,10160000,0,6727952,1,0.6622,7e-07,4048459,3807968.0,240491.0
6939,2018-05-10 00:36:48,0.0795,10334000,0,821553,1,0.0795,2.7e-06,4222215,4048459.0,173756.0
6964,2018-05-10 01:10:45,0.0008,10309000,0,8247,1,0.0008,2.7e-06,4199207,4222215.0,-23008.0
6967,2018-05-10 01:15:44,0.0963,10311000,0,992949,1,0.0963,2.7e-06,4201219,4199207.0,2012.0
6969,2018-05-10 01:26:06,0.0385,10325000,0,397513,1,0.0385,2.7e-06,4201065,4201219.0,-154.0
6974,2018-05-10 01:38:12,0.5139,10331000,0,5309101,1,0.5139,2.7e-06,4204763,4201065.0,3698.0
6976,2018-05-10 01:50:55,0.1243,10335000,0,1284641,1,0.1243,2.7e-06,4205261,4204763.0,498.0
6978,2018-05-10 02:03:38,0.1715,10334000,0,1772281,1,0.1715,2.7e-06,4207662,4205261.0,2401.0
7207,2018-05-10 14:17:26,0.3937,10380000,0,4086606,1,0.3937,6e-07,4622737,4207662.0,415075.0
7210,2018-05-10 14:26:51,0.0079,10377000,0,81978,1,0.0079,6e-07,4623206,4622737.0,469.0
7212,2018-05-10 14:29:31,0.0306,10355000,0,316863,1,0.0306,6e-07,4623145,4623206.0,-61.0
7221,2018-05-10 14:44:41,1.9094,10349000,0,19760381,1,1.9094,6e-07,4649759,4623145.0,26614.0
7990,2018-05-11 17:09:07,0.2216,9620000,0,2131792,1,0.2216,9.7e-06,4358589,4649759.0,-291170.0
8008,2018-05-11 17:19:21,0.552,9625000,0,5313000,1,0.552,9.7e-06,4440498,4358589.0,81909.0
8394,2018-05-11 21:44:47,0.0039,9360000,0,36504,1,0.0039,6e-08,4556552,4440498.0,116054.0
8396,2018-05-11 21:48:35,0.1152,9294000,0,1070669,1,0.1152,6e-08,4557359,4556552.0,807.0
8398,2018-05-11 21:49:11,0.0095,9320000,0,88540,1,0.0095,6e-08,4557549,4557359.0,190.0
8400,2018-05-11 21:51:38,0.0554,9323000,0,516494,1,0.0554,6e-08,4558269,4557549.0,720.0
8406,2018-05-11 21:56:19,0.0768,9315000,0,715392,1,0.0768,6e-08,4582472,4558269.0,24203.0
8415,2018-05-11 22:10:05,1.6966,9332000,0,15832671,1,1.6966,6e-08,4625758,4582472.0,43286.0
8428,2018-05-11 22:12:19,0.3508,9353000,0,3281032,1,0.3508,6e-08,4644865,4625758.0,19107.0
8435,2018-05-11 22:16:38,0.4206,9392000,0,3950275,1,0.4206,6e-08,4658883,4644865.0,14018.0
8457,2018-05-11 22:39:41,2.0019,9359000,0,18735782,1,2.0019,6e-08,4584022,4658883.0,-74861.0
