,B_min,B_max,B_avg,S_min,S_max,S_avg,T_min,T_max,T_avg
minute,1,44,1.7152452676572358,1,32,2.017915309446254,1,44,2.0992160043254935
hour,1,73,11.819074333800843,1,129,20.535911602209946,1,198,31.99862637362637
date,84,544,271.83870967741933,138,950,479.61290322580646,222,1494,751.4516129032259
