,timestamp,amount_cumsum
9,2018-05-01 00:04:44,98622
18,2018-05-01 00:07:28,26196
22,2018-05-01 00:11:13,9676
25,2018-05-01 00:13:27,34676
37,2018-05-01 00:16:30,113663
46,2018-05-01 00:23:33,152619
118,2018-05-01 01:04:36,-217690
128,2018-05-01 01:12:29,-106882
191,2018-05-01 01:50:24,226133
208,2018-05-01 02:01:51,141485
283,2018-05-01 02:54:46,309789
304,2018-05-01 03:13:04,398894
310,2018-05-01 03:15:14,390364
355,2018-05-01 03:48:33,-57477
364,2018-05-01 03:51:56,-31848
430,2018-05-01 04:39:20,207192
445,2018-05-01 05:18:15,160454
463,2018-05-01 05:36:09,406119
478,2018-05-01 05:48:49,417685
509,2018-05-01 05:59:56,717983
519,2018-05-01 06:05:49,1053187
527,2018-05-01 06:08:19,1072595
537,2018-05-01 06:11:04,1049009
558,2018-05-01 06:20:08,1356487
561,2018-05-01 06:22:51,1679861
570,2018-05-01 06:26:30,1652550
608,2018-05-01 06:45:10,1469569
616,2018-05-01 06:57:25,1690471
627,2018-05-01 07:08:12,1506589
633,2018-05-01 07:10:27,1512716
666,2018-05-01 07:25:25,1499247
673,2018-05-01 07:30:27,1548651
699,2018-05-01 07:38:20,1730000
717,2018-05-01 07:46:27,2013810
723,2018-05-01 07:50:04,2172084
746,2018-05-01 07:52:55,2282660
749,2018-05-01 07:54:27,2127660
781,2018-05-01 08:13:27,2538067
813,2018-05-01 08:29:41,2547652
819,2018-05-01 08:31:06,2475312
830,2018-05-01 08:34:48,2401906
863,2018-05-01 08:42:31,2009851
866,2018-05-01 08:44:36,2269851
874,2018-05-01 08:45:32,2224925
892,2018-05-01 08:53:39,2266297
914,2018-05-01 08:58:56,2176554
948,2018-05-01 09:10:44,2613048
956,2018-05-01 09:16:58,2786757
967,2018-05-01 09:21:28,2857489
985,2018-05-01 09:29:46,3051621
1031,2018-05-01 09:51:35,3208935
1043,2018-05-01 09:58:06,3654331
1068,2018-05-01 10:02:25,3696485
1092,2018-05-01 10:08:55,3718261
4118,2018-05-02 14:56:34,7314182
4472,2018-05-02 18:25:15,7916109
6172,2018-05-03 13:55:50,7733297
11514,2018-05-06 00:42:25,13367478
14334,2018-05-17 11:50:25,18724488
14340,2018-05-17 12:08:26,18578392
14343,2018-05-17 12:11:53,18588392
14351,2018-05-17 12:32:15,18787990
14389,2018-05-17 13:22:06,18855715
14411,2018-05-17 14:34:48,18886483
14423,2018-05-17 14:49:47,18733591
14442,2018-05-17 16:08:30,18912959
14452,2018-05-17 17:24:00,19262118
14461,2018-05-17 17:57:29,19313941
14497,2018-05-17 19:56:57,19279943
14523,2018-05-17 21:11:26,19044876
14529,2018-05-17 21:46:00,19281631
14534,2018-05-17 21:51:12,19221631
14540,2018-05-17 22:23:14,19131079
14553,2018-05-18 01:11:21,19102129
14555,2018-05-18 01:17:41,19134314
14562,2018-05-18 01:36:58,19332005
14577,2018-05-18 02:56:49,19542681
14580,2018-05-18 03:06:30,19464891
14600,2018-05-18 04:10:58,19652884
14614,2018-05-18 05:09:44,19596595
14631,2018-05-18 06:17:05,19673283
14655,2018-05-18 07:11:51,19795767
14676,2018-05-18 07:48:13,19862683
14683,2018-05-18 08:24:08,20166631
14739,2018-05-18 09:59:37,20023086
14759,2018-05-18 10:36:23,19634726
14768,2018-05-18 11:08:05,19822046
14776,2018-05-18 11:28:51,19679169
14794,2018-05-18 13:15:05,19654125
14817,2018-05-18 14:19:57,19686978
14838,2018-05-18 16:23:51,19636017
14847,2018-05-18 16:32:21,19563897
14866,2018-05-18 16:33:57,19493897
14868,2018-05-18 16:36:27,19443897
14899,2018-05-18 20:19:25,19574871
14907,2018-05-18 20:59:00,19575684
14910,2018-05-18 22:36:54,19805684
14917,2018-05-18 23:24:51,19874981
14936,2018-05-19 03:11:46,19932878
14939,2018-05-19 03:25:01,19812878
14957,2018-05-19 04:01:49,19548214
14961,2018-05-19 04:19:40,19527934
14968,2018-05-19 04:30:29,19670768
14979,2018-05-19 06:22:59,19560443
15011,2018-05-19 09:04:52,19578344
15037,2018-05-19 10:30:36,19873786
15041,2018-05-19 12:21:17,19803786
15051,2018-05-19 12:45:45,19703787
15063,2018-05-19 15:56:14,19826096
15074,2018-05-19 16:52:25,20053332
15087,2018-05-19 19:06:28,20017179
15091,2018-05-19 20:47:24,19987519
15097,2018-05-19 21:01:06,19891530
15113,2018-05-19 21:50:24,19834359
15118,2018-05-19 22:00:42,19804359
15123,2018-05-19 22:03:01,19784359
15125,2018-05-19 22:14:30,19854359
15139,2018-05-20 00:38:27,19872440
15177,2018-05-20 04:55:58,19777385
15183,2018-05-20 06:00:36,19997330
15196,2018-05-20 07:03:52,19980398
15213,2018-05-20 08:07:51,19978483
15255,2018-05-20 10:45:38,19756616
15260,2018-05-20 10:51:55,19759363
15264,2018-05-20 11:05:49,19709363
15285,2018-05-20 11:40:55,19625839
15293,2018-05-20 11:55:24,19685838
15297,2018-05-20 11:56:22,19650183
15308,2018-05-20 12:13:38,19780005
15326,2018-05-20 13:10:53,19901802
15335,2018-05-20 15:13:05,19864892
15356,2018-05-20 16:46:00,19718093
15366,2018-05-20 18:10:08,19695012
15387,2018-05-20 18:36:13,19573843
15402,2018-05-20 19:03:16,19504827
15414,2018-05-20 19:11:38,19465065
15434,2018-05-20 19:22:10,19407094
15445,2018-05-20 20:24:24,19588497
15462,2018-05-20 23:05:24,19660226
15470,2018-05-21 00:28:38,19644782
15489,2018-05-21 01:06:05,19516803
15493,2018-05-21 01:16:23,19521803
15497,2018-05-21 01:28:52,19531803
15505,2018-05-21 01:51:34,19579097
15511,2018-05-21 01:56:11,19541339
15525,2018-05-21 07:55:50,19747522
15532,2018-05-21 07:58:21,19737522
15541,2018-05-21 09:50:10,19883765
15550,2018-05-21 11:39:17,19779694
15560,2018-05-21 12:10:03,19730200
15579,2018-05-21 12:30:38,19655472
15582,2018-05-21 13:23:39,19625472
15599,2018-05-21 13:28:00,19595473
15606,2018-05-21 13:39:19,19590244
15618,2018-05-21 14:02:40,19535155
15623,2018-05-21 15:02:14,19658467
15636,2018-05-21 15:16:15,19702162
15650,2018-05-21 15:50:59,19583533
15654,2018-05-21 16:03:13,19643533
15662,2018-05-21 18:56:25,19838526
15722,2018-05-21 20:07:55,20267210
15726,2018-05-21 20:22:15,20141552
15736,2018-05-21 21:23:37,19983938
15748,2018-05-21 23:11:17,20181640
15751,2018-05-21 23:23:59,20251640
15759,2018-05-21 23:27:11,20211640
15767,2018-05-22 00:14:02,20284196
15787,2018-05-22 03:04:07,20333235
15813,2018-05-22 08:17:11,20069330
15838,2018-05-22 10:15:29,20364883
15863,2018-05-22 15:14:45,20420111
15881,2018-05-22 21:22:13,20779386
15934,2018-05-22 22:46:35,20584460
15937,2018-05-22 23:05:24,20694460
15942,2018-05-23 01:19:44,20618877
15968,2018-05-23 01:42:38,20602877
15983,2018-05-23 06:28:46,21000273
16003,2018-05-23 08:07:34,21223880
16009,2018-05-23 08:52:22,21295993
16013,2018-05-23 09:01:20,21272927
16015,2018-05-23 09:56:17,21512927
16021,2018-05-23 10:43:06,21541686
16038,2018-05-23 12:18:30,21381566
16048,2018-05-23 13:21:42,21521566
16075,2018-05-23 17:06:16,22009862
16078,2018-05-23 17:43:01,22339862
16084,2018-05-23 17:59:55,22290166
16091,2018-05-23 18:27:30,22591921
16100,2018-05-23 19:02:41,22291783
16104,2018-05-23 19:08:32,22321783
16113,2018-05-23 23:19:20,22472364
16117,2018-05-24 00:30:20,22476207
16154,2018-05-24 03:27:27,22691184
16160,2018-05-24 04:20:41,22660812
16165,2018-05-24 05:08:02,22546571
16176,2018-05-24 06:46:46,22380268
16184,2018-05-24 08:13:34,22602774
16186,2018-05-24 09:15:33,22532774
16211,2018-05-24 09:50:15,22486610
16216,2018-05-24 09:58:14,22514103
16226,2018-05-24 10:04:49,22455503
16231,2018-05-24 10:05:43,22447810
16244,2018-05-24 10:42:14,22552524
16291,2018-05-24 12:15:28,22635777
16303,2018-05-24 12:51:26,22614955
16309,2018-05-24 13:15:15,22579707
16324,2018-05-24 14:27:52,22622203
